#/mnt/nas-sph/120_anisotropy_evolution/604_seg3.aim
#xdim 300
#ydim 300
#zdim 196
#el_size 0.025 mm
#ice_vol_frac 0.309540079365 
#mean_cl_ice 9.12615832885 mean_cl_ice_x 9.80089962504 mean_cl_ice_y 9.00450531419 mean_cl_ice_z 8.64764443262 mean_cl_pore 19.479375046 mean_cl_pore_x 20.9457684423 mean_cl_pore_y 19.3482027828 mean_cl_pore_z 18.320950606
#mean_cl_squared_ice 126.681880402 mean_cl_squared_ice_x 142.776224554 mean_cl_squared_ice_y 122.609881348 mean_cl_squared_ice_z 116.391950511 	mean_cl_squared_pore 725.121990995 mean_cl_squared_pore_x 827.036666277 mean_cl_squared_pore_y 723.759242638 mean_cl_squared_pore_z 637.269143814
#i l_ice l_ice_x l_ice_y l_ice_z l_pore l_pore_x l_pore_y l_pore_z
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 82743.0 20650.0 28347.0 33746.0 57405.0 14233.0 19372.0 23800.0
2 122361.0 31317.0 42960.0 48084.0 86084.0 22417.0 29750.0 33917.0
3 137609.0 36914.0 48245.0 52450.0 95995.0 25978.0 33560.0 36457.0
4 140473.0 39057.0 48517.0 52899.0 92657.0 26378.0 32296.0 33983.0
5 137759.0 40250.0 46294.0 51215.0 85575.0 25238.0 29360.0 30977.0
6 133030.0 39872.0 44276.0 48882.0 78902.0 23322.0 27147.0 28433.0
7 124986.0 38449.0 41388.0 45149.0 73259.0 21623.0 25297.0 26339.0
8 115743.0 36339.0 38368.0 41036.0 69304.0 20771.0 23374.0 25159.0
9 106873.0 34191.0 35582.0 37100.0 65674.0 20104.0 21803.0 23767.0
10 96718.0 31559.0 32749.0 32410.0 62166.0 18991.0 20638.0 22537.0
11 85210.0 28539.0 28838.0 27833.0 58579.0 18014.0 19402.0 21163.0
12 75138.0 25682.0 25214.0 24242.0 55409.0 16819.0 18234.0 20356.0
13 65454.0 22961.0 21735.0 20758.0 50871.0 15581.0 16696.0 18594.0
14 56612.0 19909.0 19010.0 17693.0 48874.0 15345.0 16117.0 17412.0
15 48889.0 17306.0 16496.0 15087.0 46498.0 14531.0 15371.0 16596.0
16 41634.0 14492.0 14381.0 12761.0 43640.0 13536.0 14584.0 15520.0
17 35040.0 12049.0 12197.0 10794.0 41581.0 13092.0 13950.0 14539.0
18 29726.0 10183.0 10347.0 9196.0 38994.0 12268.0 13104.0 13622.0
19 25429.0 8644.0 8836.0 7949.0 36660.0 11466.0 12164.0 13030.0
20 21822.0 7599.0 7478.0 6745.0 34716.0 11134.0 11460.0 12122.0
21 18258.0 6277.0 6279.0 5702.0 33257.0 10848.0 11000.0 11409.0
22 15325.0 5513.0 5094.0 4718.0 31635.0 10438.0 10400.0 10797.0
23 12727.0 4601.0 4061.0 4065.0 30120.0 10140.0 9825.0 10155.0
24 10599.0 3849.0 3382.0 3368.0 28705.0 9584.0 9310.0 9811.0
25 8811.0 3178.0 2781.0 2852.0 27053.0 8931.0 8968.0 9154.0
26 7485.0 2669.0 2246.0 2570.0 25455.0 8378.0 8343.0 8734.0
27 6020.0 2147.0 1890.0 1983.0 24466.0 7964.0 7983.0 8519.0
28 5248.0 1930.0 1641.0 1677.0 23397.0 7735.0 7597.0 8065.0
29 4220.0 1579.0 1340.0 1301.0 21960.0 7251.0 7119.0 7590.0
30 3697.0 1461.0 1107.0 1129.0 20589.0 6697.0 6581.0 7311.0
31 3084.0 1258.0 911.0 915.0 19529.0 6355.0 6398.0 6776.0
32 2587.0 1046.0 727.0 814.0 18742.0 6102.0 6205.0 6435.0
33 2086.0 902.0 556.0 628.0 17729.0 5767.0 5828.0 6134.0
34 1676.0 694.0 459.0 523.0 16974.0 5437.0 5708.0 5829.0
35 1468.0 596.0 422.0 450.0 16331.0 5187.0 5455.0 5689.0
36 1179.0 453.0 323.0 403.0 15342.0 5041.0 5092.0 5209.0
37 1096.0 424.0 322.0 350.0 14641.0 4941.0 4737.0 4963.0
38 968.0 415.0 265.0 288.0 13773.0 4726.0 4495.0 4552.0
39 774.0 348.0 192.0 234.0 12965.0 4593.0 4243.0 4129.0
40 663.0 297.0 172.0 194.0 12587.0 4433.0 4024.0 4130.0
