#/mnt/nas-sph/120_anisotropy_evolution/C0002070_SEG_SCALED.aim
#xdim 254
#ydim 254
#zdim 254
#el_size 0.02 mm
#ice_vol_frac 0.16347217537 
#mean_cl_ice 4.55783149749 mean_cl_ice_x 5.00334137704 mean_cl_ice_y 4.83605119068 mean_cl_ice_z 3.97517840475 mean_cl_pore 21.5912285169 mean_cl_pore_x 23.5139532371 mean_cl_pore_y 22.770284524 mean_cl_pore_z 19.0474427148
#mean_cl_squared_ice 33.4137762261 mean_cl_squared_ice_x 41.0804862834 mean_cl_squared_ice_y 38.3148508202 mean_cl_squared_ice_z 23.2939119054 	mean_cl_squared_pore 967.725386479 mean_cl_squared_pore_x 1136.3943151 mean_cl_squared_pore_y 1087.2492031 mean_cl_squared_pore_z 731.113176664
#i l_ice l_ice_x l_ice_y l_ice_z l_pore l_pore_x l_pore_y l_pore_z
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 142577.0 37775.0 44806.0 59996.0 59207.0 15765.0 18784.0 24658.0
2 310146.0 81184.0 90366.0 138596.0 115733.0 30995.0 36120.0 48618.0
3 394025.0 109221.0 113932.0 170872.0 118113.0 34265.0 36619.0 47229.0
4 290537.0 87779.0 88898.0 113860.0 95499.0 28611.0 29231.0 37657.0
5 186580.0 59857.0 60133.0 66590.0 80661.0 24053.0 24857.0 31751.0
6 122574.0 41284.0 40936.0 40354.0 72537.0 21163.0 22168.0 29206.0
7 84062.0 29210.0 29040.0 25812.0 66713.0 19053.0 20413.0 27247.0
8 59275.0 21104.0 20864.0 17307.0 60612.0 17258.0 18489.0 24865.0
9 42757.0 15806.0 15370.0 11581.0 56132.0 16257.0 16961.0 22914.0
10 31145.0 11902.0 11123.0 8120.0 52579.0 15024.0 16223.0 21332.0
11 22861.0 8881.0 8332.0 5648.0 50420.0 14624.0 15138.0 20658.0
12 16915.0 6638.0 6338.0 3939.0 47999.0 13946.0 14490.0 19563.0
13 12381.0 4987.0 4676.0 2718.0 45122.0 13193.0 13603.0 18326.0
14 9480.0 3818.0 3637.0 2025.0 42982.0 12564.0 13054.0 17364.0
15 7465.0 3109.0 2848.0 1508.0 40911.0 12054.0 12542.0 16315.0
16 5810.0 2390.0 2383.0 1037.0 39003.0 11569.0 11872.0 15562.0
17 4503.0 1840.0 1824.0 839.0 37637.0 11218.0 11537.0 14882.0
18 3634.0 1478.0 1460.0 696.0 35747.0 10722.0 11110.0 13915.0
19 2868.0 1221.0 1148.0 499.0 34365.0 10688.0 10392.0 13285.0
20 2343.0 999.0 950.0 394.0 32544.0 10009.0 10083.0 12452.0
21 1938.0 820.0 813.0 305.0 31234.0 9453.0 9915.0 11866.0
22 1561.0 669.0 668.0 224.0 30269.0 9240.0 9394.0 11635.0
23 1242.0 563.0 493.0 186.0 28384.0 8717.0 8759.0 10908.0
24 997.0 425.0 429.0 143.0 27497.0 8429.0 8920.0 10148.0
25 819.0 368.0 328.0 123.0 26485.0 8090.0 8584.0 9811.0
26 701.0 326.0 294.0 81.0 24830.0 7858.0 7944.0 9028.0
27 589.0 226.0 279.0 84.0 24349.0 7904.0 7697.0 8748.0
28 488.0 173.0 225.0 90.0 22851.0 7371.0 7384.0 8096.0
29 367.0 135.0 159.0 73.0 22120.0 7156.0 7146.0 7818.0
30 344.0 159.0 148.0 37.0 20664.0 6685.0 6736.0 7243.0
31 245.0 106.0 108.0 31.0 19872.0 6452.0 6418.0 7002.0
32 257.0 106.0 121.0 30.0 19370.0 6393.0 6194.0 6783.0
33 189.0 74.0 97.0 18.0 18197.0 6058.0 5824.0 6315.0
34 150.0 59.0 74.0 17.0 17143.0 5734.0 5449.0 5960.0
35 132.0 59.0 62.0 11.0 16425.0 5659.0 5097.0 5669.0
36 102.0 44.0 48.0 10.0 15704.0 5374.0 4938.0 5392.0
37 114.0 51.0 53.0 10.0 14783.0 5002.0 4680.0 5101.0
38 124.0 47.0 72.0 5.0 14216.0 4670.0 4554.0 4992.0
39 113.0 35.0 74.0 4.0 13803.0 4574.0 4366.0 4863.0
40 80.0 34.0 45.0 1.0 13053.0 4118.0 4261.0 4674.0
41 72.0 37.0 34.0 1.0 12590.0 4087.0 4089.0 4414.0
42 81.0 41.0 37.0 3.0 12159.0 3966.0 3814.0 4379.0
43 61.0 31.0 26.0 4.0 11799.0 3909.0 3771.0 4119.0
44 61.0 33.0 27.0 1.0 11115.0 3719.0 3581.0 3815.0
45 51.0 19.0 29.0 3.0 10753.0 3589.0 3533.0 3631.0
46 39.0 18.0 21.0 0.0 10269.0 3356.0 3464.0 3449.0
47 27.0 20.0 7.0 0.0 10140.0 3330.0 3411.0 3399.0
48 27.0 15.0 12.0 0.0 9539.0 3088.0 3186.0 3265.0
49 28.0 18.0 7.0 3.0 9000.0 2970.0 3052.0 2978.0
50 24.0 17.0 7.0 0.0 8585.0 2841.0 2989.0 2755.0
51 27.0 20.0 7.0 0.0 8425.0 2785.0 2779.0 2861.0
52 15.0 8.0 7.0 0.0 8079.0 2687.0 2677.0 2715.0
53 22.0 14.0 8.0 0.0 7785.0 2673.0 2635.0 2477.0
54 14.0 8.0 6.0 0.0 7214.0 2459.0 2437.0 2318.0
55 23.0 13.0 10.0 0.0 6924.0 2319.0 2440.0 2165.0
56 21.0 16.0 5.0 0.0 6873.0 2417.0 2324.0 2132.0
57 16.0 12.0 4.0 0.0 6552.0 2290.0 2239.0 2023.0
58 12.0 8.0 4.0 0.0 6419.0 2211.0 2197.0 2011.0
59 7.0 6.0 1.0 0.0 6194.0 2069.0 2044.0 2081.0
60 5.0 4.0 1.0 0.0 5954.0 2031.0 2001.0 1922.0
61 6.0 6.0 0.0 0.0 5570.0 1962.0 1914.0 1694.0
62 5.0 5.0 0.0 0.0 5113.0 1790.0 1666.0 1657.0
63 4.0 4.0 0.0 0.0 4822.0 1679.0 1618.0 1525.0
64 7.0 7.0 0.0 0.0 4434.0 1548.0 1530.0 1356.0
65 6.0 6.0 0.0 0.0 4330.0 1567.0 1396.0 1367.0
66 3.0 3.0 0.0 0.0 4159.0 1563.0 1417.0 1179.0
67 1.0 1.0 0.0 0.0 3896.0 1391.0 1379.0 1126.0
68 8.0 8.0 0.0 0.0 3904.0 1450.0 1349.0 1105.0
69 5.0 5.0 0.0 0.0 3798.0 1297.0 1320.0 1181.0
70 7.0 4.0 3.0 0.0 3678.0 1266.0 1268.0 1144.0
71 5.0 5.0 0.0 0.0 3315.0 1228.0 1187.0 900.0
72 3.0 3.0 0.0 0.0 3206.0 1154.0 1146.0 906.0
