#/mnt/nas-sph/120_anisotropy_evolution/596_seg3.aim
#xdim 300
#ydim 300
#zdim 196
#el_size 0.025 mm
#ice_vol_frac 0.316208673469 
#mean_cl_ice 8.58920005975 mean_cl_ice_x 9.30166641931 mean_cl_ice_y 8.54136449388 mean_cl_ice_z 8.01983131948 mean_cl_pore 17.8743719362 mean_cl_pore_x 19.3766469721 mean_cl_pore_y 17.8488040699 mean_cl_pore_z 16.6103613715
#mean_cl_squared_ice 111.101061834 mean_cl_squared_ice_x 127.98859871 mean_cl_squared_ice_y 108.873762725 mean_cl_squared_ice_z 98.6320472858 	mean_cl_squared_pore 604.249379593 mean_cl_squared_pore_x 704.737713371 mean_cl_squared_pore_y 608.142000793 mean_cl_squared_pore_z 514.484620851
#i l_ice l_ice_x l_ice_y l_ice_z l_pore l_pore_x l_pore_y l_pore_z
0 0.0 0.0 0 0.0 0.0 0.0 0.0 0.0
1 94480.0 23463.0 31673 39344.0 61833.0 15559.0 20644.0 25630.0
2 140586.0 35971.0 48063 56552.0 94655.0 24270.0 32497.0 37888.0
3 155583.0 41200.0 53171 61212.0 109249.0 29657.0 37793.0 41799.0
4 159187.0 44096.0 53223 61868.0 107157.0 30607.0 36861.0 39689.0
5 157335.0 44858.0 51709 60768.0 99332.0 29100.0 33651.0 36581.0
6 153206.0 44790.0 50543 57873.0 92279.0 27265.0 31081.0 33933.0
7 143863.0 43574.0 47324 52965.0 85671.0 24907.0 29052.0 31712.0
8 133168.0 41354.0 44357 47457.0 80230.0 23811.0 26887.0 29532.0
9 121873.0 39471.0 40827 41575.0 75600.0 22620.0 25191.0 27789.0
10 108171.0 35628.0 36264 36279.0 71723.0 22022.0 23311.0 26390.0
11 93510.0 31603.0 31768 30139.0 66603.0 20167.0 21923.0 24513.0
12 79695.0 27124.0 27341 25230.0 62892.0 19207.0 20589.0 23096.0
13 68259.0 23848.0 23352 21059.0 58582.0 17682.0 19116.0 21784.0
14 57468.0 20214.0 19821 17433.0 55273.0 16865.0 18156.0 20252.0
15 47704.0 17025.0 16280 14399.0 52077.0 15961.0 17021.0 19095.0
16 39486.0 13952.0 13484 12050.0 48722.0 15011.0 15707.0 18004.0
17 32798.0 11423.0 11368 10007.0 45546.0 14222.0 15253.0 16071.0
18 27406.0 9467.0 9353 8586.0 42683.0 13243.0 14021.0 15419.0
19 22891.0 7971.0 7723 7197.0 40098.0 12511.0 13208.0 14379.0
20 18738.0 6718.0 6326 5694.0 38276.0 12175.0 12699.0 13402.0
21 15809.0 5744.0 5355 4710.0 36242.0 11429.0 12039.0 12774.0
22 13158.0 4879.0 4351 3928.0 34290.0 11049.0 11139.0 12102.0
23 10875.0 3992.0 3446 3437.0 32285.0 10335.0 10587.0 11363.0
24 8803.0 3368.0 2809 2626.0 30478.0 9995.0 9796.0 10687.0
25 7455.0 2676.0 2451 2328.0 28940.0 9538.0 9208.0 10194.0
26 5953.0 2264.0 1839 1850.0 27047.0 8937.0 8704.0 9406.0
27 4982.0 1924.0 1545 1513.0 25139.0 8235.0 8277.0 8627.0
28 4115.0 1675.0 1191 1249.0 23554.0 7711.0 7819.0 8024.0
29 3645.0 1461.0 1131 1053.0 21960.0 7242.0 7338.0 7380.0
30 2969.0 1249.0 817 903.0 20921.0 6831.0 7104.0 6986.0
31 2509.0 1079.0 689 741.0 19733.0 6672.0 6526.0 6535.0
32 2137.0 895.0 616 626.0 19098.0 6265.0 6413.0 6420.0
33 1753.0 778.0 495 480.0 17946.0 5835.0 5958.0 6153.0
34 1323.0 600.0 333 390.0 17119.0 5605.0 5573.0 5941.0
35 1102.0 485.0 266 351.0 16567.0 5408.0 5535.0 5624.0
36 986.0 468.0 250 268.0 15380.0 5110.0 4950.0 5320.0
37 804.0 401.0 202 201.0 14399.0 4927.0 4616.0 4856.0
38 741.0 366.0 202 173.0 13373.0 4448.0 4541.0 4384.0
39 568.0 258.0 153 157.0 12531.0 4284.0 4150.0 4097.0
40 507.0 256.0 112 139.0 11724.0 4123.0 3834.0 3767.0
41 377.0 166.0 104 107.0 11058.0 3748.0 3761.0 3549.0
42 327.0 138.0 120 69.0 10591.0 3445.0 3653.0 3493.0
43 322.0 124.0 127 71.0 10178.0 3445.0 3520.0 3213.0
44 257.0 86.0 107 64.0 9676.0 3371.0 3247.0 3058.0
45 248.0 100.0 87 61.0 9213.0 3317.0 3011.0 2885.0
46 190.0 82.0 52 56.0 8679.0 3102.0 2900.0 2677.0
47 147.0 70.0 38 39.0 8055.0 2739.0 2775.0 2541.0
48 139.0 61.0 44 34.0 7545.0 2607.0 2537.0 2401.0
49 125.0 45.0 37 43.0 7282.0 2587.0 2370.0 2325.0
50 98.0 42.0 28 28.0 6854.0 2404.0 2294.0 2156.0
51 69.0 27.0 16 26.0 6384.0 2212.0 2082.0 2090.0
52 50.0 18.0 10 22.0 5893.0 2127.0 1930.0 1836.0
53 69.0 35.0 10 24.0 5311.0 1924.0 1741.0 1646.0
54 39.0 17.0 8 14.0 5227.0 1965.0 1676.0 1586.0
55 34.0 21.0 6 7.0 4911.0 1750.0 1659.0 1502.0
56 31.0 18.0 7 6.0 4537.0 1605.0 1536.0 1396.0
57 25.0 12.0 6 7.0 4330.0 1626.0 1458.0 1246.0
58 18.0 8.0 4 6.0 4097.0 1469.0 1458.0 1170.0
59 8.0 3.0 3 2.0 3888.0 1397.0 1388.0 1103.0
60 9.0 3.0 3 3.0 3757.0 1384.0 1342.0 1031.0
61 9.0 6.0 1 2.0 3636.0 1338.0 1308.0 990.0
62 13.0 6.0 5 2.0 3382.0 1332.0 1134.0 916.0
63 7.0 1.0 2 4.0 3065.0 1172.0 925.0 968.0
64 8.0 3.0 0 5.0 2858.0 1061.0 936.0 861.0
65 2.0 2.0 0 0.0 2665.0 926.0 993.0 746.0
66 0.0 0.0 0 0.0 2459.0 862.0 896.0 701.0
67 2.0 2.0 0 0.0 2367.0 866.0 836.0 665.0
68 1.0 0.0 0 1.0 2262.0 813.0 786.0 663.0
69 1.0 1.0 0 0.0 2043.0 686.0 730.0 627.0
70 0.0 0.0 0 0.0 2071.0 728.0 756.0 587.0
71 3.0 2.0 0 1.0 1900.0 713.0 694.0 493.0
72 1.0 1.0 0 0.0 1746.0 594.0 636.0 516.0
73 0.0 0.0 0 0.0 1606.0 587.0 571.0 448.0
74 0.0 0.0 0 0.0 1565.0 568.0 559.0 438.0
75 0.0 0.0 0 0.0 1561.0 585.0 501.0 475.0
76 0.0 0.0 0 0.0 1380.0 516.0 459.0 405.0
77 0.0 0.0 0 0.0 1321.0 524.0 427.0 370.0
78 1.0 1.0 0 0.0 1234.0 492.0 419.0 323.0
79 0.0 0.0 0 0.0 1237.0 424.0 471.0 342.0
80 0.0 0.0 0 0.0 1125.0 440.0 388.0 297.0
81 0.0 0.0 0 0.0 1071.0 447.0 373.0 251.0
82 0.0 0.0 0 0.0 1013.0 416.0 356.0 241.0
83 0.0 0.0 0 0.0 957.0 390.0 313.0 254.0
84 1.0 0.0 0 1.0 832.0 353.0 270.0 209.0
85 1.0 0.0 0 1.0 888.0 376.0 306.0 206.0
86 0.0 0.0 0 0.0 879.0 375.0 305.0 199.0
87 0.0 0.0 0 0.0 821.0 350.0 283.0 188.0
88 0.0 0.0 0 0.0 709.0 285.0 268.0 156.0
89 0.0 0.0 0 0.0 684.0 287.0 253.0 144.0
90 0.0 0.0 0 0.0 694.0 280.0 254.0 160.0
91 0.0 0.0 0 0.0 635.0 292.0 215.0 128.0
