#/mnt/nas-sph/120_anisotropy_evolution/2199.aim
#xdim 300
#ydim 300
#zdim 300
#el_size 0.018 mm
#ice_vol_frac 0.250626925926 
#mean_cl_ice 12.793196172 mean_cl_ice_x 13.3312194641 mean_cl_ice_y 12.5022900481 mean_cl_ice_z 12.5782351618 mean_cl_pore 35.0728733547 mean_cl_pore_x 36.7175753022 mean_cl_pore_y 34.0940958601 mean_cl_pore_z 34.5176502902
#mean_cl_squared_ice 302.414360724 mean_cl_squared_ice_x 319.455139874 mean_cl_squared_ice_y 291.785252792 mean_cl_squared_ice_z 297.029766519 	mean_cl_squared_pore 2772.14829891 mean_cl_squared_pore_x 2835.79708954 mean_cl_squared_pore_y 2628.75888536 mean_cl_squared_pore_z 2857.48376569
#i l_ice l_ice_x l_ice_y l_ice_z l_pore l_pore_x l_pore_y l_pore_z
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 73969.0 22521.0 24897.0 26551.0 62424.0 17905.0 21321.0 23198.0
2 114235.0 34727.0 38649.0 40859.0 94015.0 26329.0 32505.0 35181.0
3 123111.0 36781.0 42138.0 44192.0 96406.0 27030.0 33454.0 35922.0
4 110635.0 32266.0 39207.0 39162.0 80899.0 23303.0 27755.0 29841.0
5 94860.0 27470.0 33738.0 33652.0 62889.0 18575.0 21599.0 22715.0
6 82987.0 24543.0 29585.0 28859.0 50754.0 15198.0 17191.0 18365.0
7 75359.0 23134.0 26731.0 25494.0 43361.0 13071.0 14684.0 15606.0
8 70339.0 22127.0 25210.0 23002.0 38914.0 11787.0 13454.0 13673.0
9 66552.0 20881.0 24144.0 21527.0 34866.0 10409.0 12060.0 12397.0
10 62819.0 20197.0 22343.0 20279.0 32400.0 9838.0 11320.0 11242.0
11 58636.0 19352.0 20425.0 18859.0 30556.0 8930.0 11074.0 10552.0
12 53409.0 17607.0 18258.0 17544.0 28489.0 8447.0 10762.0 9280.0
13 48227.0 16192.0 16229.0 15806.0 26549.0 7930.0 9796.0 8823.0
14 44552.0 14857.0 15080.0 14615.0 25677.0 7887.0 9474.0 8316.0
15 40755.0 13965.0 13588.0 13202.0 25322.0 7759.0 9409.0 8154.0
16 37318.0 12736.0 12396.0 12186.0 24208.0 7499.0 8649.0 8060.0
17 34663.0 11898.0 11302.0 11463.0 23296.0 7541.0 7965.0 7790.0
18 32011.0 11101.0 10396.0 10514.0 22443.0 7356.0 7733.0 7354.0
19 28912.0 10110.0 9377.0 9425.0 22566.0 7359.0 7929.0 7278.0
20 26858.0 9292.0 8906.0 8660.0 22201.0 7166.0 7857.0 7178.0
21 24249.0 8552.0 7969.0 7728.0 21574.0 6757.0 7778.0 7039.0
22 22178.0 7680.0 7304.0 7194.0 21148.0 6659.0 7682.0 6807.0
23 20405.0 7075.0 6641.0 6689.0 20361.0 6468.0 7402.0 6491.0
