#/mnt/nas-sph/120_anisotropy_evolution/2177.aim
#xdim 300
#ydim 300
#zdim 300
#el_size 0.018 mm
#ice_vol_frac 0.228154666667 
#mean_cl_ice 9.26394728122 mean_cl_ice_x 10.0548364667 mean_cl_ice_y 9.17551696454 mean_cl_ice_z 8.66583199458 mean_cl_pore 29.3291175107 mean_cl_pore_x 31.7862433346 mean_cl_pore_y 28.9462905654 mean_cl_pore_z 27.5629880436
#mean_cl_squared_ice 148.78436924 mean_cl_squared_ice_x 179.235064261 mean_cl_squared_ice_y 146.342177425 mean_cl_squared_ice_z 124.846754204 	mean_cl_squared_pore 1856.19757822 mean_cl_squared_pore_x 2167.95396447 mean_cl_squared_pore_y 1839.72322446 mean_cl_squared_pore_z 1601.54953709
#i l_ice l_ice_x l_ice_y l_ice_z l_pore l_pore_x l_pore_y l_pore_z
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 113823.0 34143.0 37731.0 41949.0 71064.0 20989.0 24499.0 25576.0
2 181533.0 54415.0 60123.0 66995.0 107118.0 31552.0 37289.0 38277.0
3 199467.0 59426.0 66522.0 73519.0 114845.0 34075.0 39946.0 40824.0
4 181007.0 53397.0 61670.0 65940.0 100604.0 30176.0 34859.0 35569.0
5 152419.0 43910.0 52760.0 55749.0 81346.0 25085.0 27846.0 28415.0
6 127949.0 36046.0 44694.0 47209.0 67380.0 20691.0 22599.0 24090.0
7 113816.0 31238.0 40290.0 42288.0 59129.0 17844.0 20139.0 21146.0
8 101153.0 28106.0 35456.0 37591.0 54247.0 15814.0 18597.0 19836.0
9 90830.0 25956.0 31360.0 33514.0 49292.0 14249.0 17306.0 17737.0
10 82350.0 24050.0 27797.0 30503.0 46523.0 13425.0 16039.0 17059.0
11 74012.0 21967.0 24927.0 27118.0 43607.0 12702.0 15041.0 15864.0
12 66133.0 20255.0 21983.0 23895.0 41963.0 12118.0 14400.0 15445.0
13 59215.0 18708.0 19309.0 21198.0 40137.0 11698.0 13441.0 14998.0
14 53239.0 16864.0 17575.0 18800.0 37866.0 11004.0 12711.0 14151.0
15 47457.0 15149.0 15374.0 16934.0 36712.0 10294.0 12610.0 13808.0
16 42261.0 13992.0 13696.0 14573.0 35631.0 10023.0 12248.0 13360.0
17 37764.0 12720.0 12026.0 13018.0 34202.0 9695.0 11861.0 12646.0
18 32956.0 11392.0 10607.0 10957.0 33418.0 9418.0 11855.0 12145.0
19 29323.0 10163.0 9471.0 9689.0 31890.0 8869.0 11148.0 11873.0
20 25857.0 9062.0 8410.0 8385.0 30761.0 8662.0 10548.0 11551.0
21 23127.0 8085.0 7645.0 7397.0 30085.0 8613.0 9854.0 11618.0
22 20382.0 7173.0 6661.0 6548.0 29013.0 8599.0 9435.0 10979.0
23 17473.0 6221.0 5668.0 5584.0 28388.0 8603.0 9291.0 10494.0
24 15902.0 5788.0 5097.0 5017.0 27246.0 8426.0 8736.0 10084.0
25 13787.0 5118.0 4349.0 4320.0 27280.0 8142.0 8882.0 10256.0
26 11628.0 4438.0 3692.0 3498.0 26379.0 7855.0 8387.0 10137.0
27 10191.0 4077.0 3213.0 2901.0 25747.0 7569.0 8374.0 9804.0
28 8978.0 3616.0 2894.0 2468.0 25042.0 7089.0 8440.0 9513.0
29 7778.0 3209.0 2482.0 2087.0 24369.0 6804.0 8263.0 9302.0
30 6693.0 2667.0 2197.0 1829.0 23223.0 6480.0 8038.0 8705.0
31 5831.0 2417.0 1947.0 1467.0 22286.0 6209.0 7620.0 8457.0
32 4997.0 2132.0 1646.0 1219.0 22204.0 6269.0 7632.0 8303.0
33 4467.0 1949.0 1452.0 1066.0 22075.0 6598.0 7368.0 8109.0
34 3902.0 1839.0 1249.0 814.0 21232.0 6355.0 7279.0 7598.0
35 3521.0 1709.0 1136.0 676.0 20313.0 6350.0 6865.0 7098.0
36 3200.0 1517.0 1036.0 647.0 19421.0 5900.0 6598.0 6923.0
37 2693.0 1213.0 957.0 523.0 18886.0 5463.0 6606.0 6817.0
38 2346.0 1052.0 816.0 478.0 18239.0 5632.0 6280.0 6327.0
39 1954.0 895.0 680.0 379.0 17808.0 5353.0 6160.0 6295.0
40 1793.0 783.0 672.0 338.0 17599.0 5371.0 5847.0 6381.0
41 1505.0 663.0 547.0 295.0 16577.0 5161.0 5672.0 5744.0
42 1257.0 598.0 450.0 209.0 16089.0 5107.0 5546.0 5436.0
43 1076.0 517.0 369.0 190.0 15416.0 5133.0 5034.0 5249.0
44 895.0 404.0 348.0 143.0 15358.0 5147.0 4943.0 5268.0
45 844.0 400.0 298.0 146.0 14874.0 4923.0 4841.0 5110.0
46 716.0 321.0 265.0 130.0 14428.0 4663.0 4692.0 5073.0
47 619.0 313.0 219.0 87.0 14052.0 4638.0 4536.0 4878.0
48 533.0 271.0 180.0 82.0 13573.0 4527.0 4219.0 4827.0
49 465.0 220.0 171.0 74.0 13497.0 4460.0 4191.0 4846.0
50 408.0 202.0 148.0 58.0 12986.0 4313.0 4026.0 4647.0
51 359.0 194.0 135.0 30.0 12874.0 4239.0 4127.0 4508.0
52 327.0 177.0 115.0 35.0 12582.0 3989.0 4059.0 4534.0
53 287.0 161.0 84.0 42.0 12036.0 3814.0 4029.0 4193.0
54 237.0 122.0 78.0 37.0 11468.0 3671.0 3759.0 4038.0
55 212.0 100.0 70.0 42.0 11191.0 3611.0 3617.0 3963.0
56 208.0 119.0 51.0 38.0 10675.0 3610.0 3399.0 3666.0
57 187.0 99.0 55.0 33.0 10450.0 3562.0 3161.0 3727.0
58 142.0 91.0 32.0 19.0 9915.0 3256.0 3206.0 3453.0
59 141.0 93.0 39.0 9.0 9392.0 3114.0 3016.0 3262.0
60 101.0 52.0 39.0 10.0 9321.0 3067.0 3124.0 3130.0
61 83.0 39.0 33.0 11.0 9169.0 3020.0 3093.0 3056.0
62 73.0 33.0 29.0 11.0 8822.0 2848.0 2946.0 3028.0
63 79.0 40.0 31.0 8.0 8602.0 2860.0 2905.0 2837.0
64 73.0 34.0 31.0 8.0 8544.0 2901.0 2717.0 2926.0
65 64.0 40.0 18.0 6.0 8266.0 2891.0 2530.0 2845.0
66 61.0 45.0 13.0 3.0 8012.0 2874.0 2467.0 2671.0
67 66.0 39.0 24.0 3.0 7571.0 2750.0 2382.0 2439.0
68 60.0 28.0 32.0 0.0 7143.0 2591.0 2299.0 2253.0
69 68.0 34.0 23.0 11.0 7048.0 2466.0 2313.0 2269.0
70 71.0 39.0 29.0 3.0 6679.0 2312.0 2259.0 2108.0
71 54.0 37.0 16.0 1.0 6589.0 2181.0 2271.0 2137.0
72 52.0 31.0 20.0 1.0 6381.0 2228.0 2084.0 2069.0
73 36.0 25.0 11.0 0.0 6246.0 2244.0 2055.0 1947.0
74 42.0 27.0 15.0 0.0 5954.0 2103.0 1918.0 1933.0
75 31.0 25.0 6.0 0.0 5794.0 2034.0 1792.0 1968.0
76 24.0 19.0 5.0 0.0 5440.0 1901.0 1756.0 1783.0
77 22.0 16.0 6.0 0.0 5582.0 2006.0 1716.0 1860.0
78 15.0 10.0 5.0 0.0 5614.0 2102.0 1696.0 1816.0
79 11.0 10.0 1.0 0.0 5247.0 1968.0 1584.0 1695.0
80 16.0 15.0 1.0 0.0 4757.0 1754.0 1433.0 1570.0
81 20.0 16.0 4.0 0.0 4741.0 1739.0 1462.0 1540.0
82 15.0 9.0 6.0 0.0 4361.0 1605.0 1318.0 1438.0
83 11.0 5.0 6.0 0.0 4178.0 1541.0 1239.0 1398.0
84 16.0 11.0 5.0 0.0 4103.0 1463.0 1309.0 1331.0
85 7.0 3.0 4.0 0.0 4080.0 1497.0 1264.0 1319.0
86 22.0 8.0 14.0 0.0 3972.0 1443.0 1258.0 1271.0
87 16.0 8.0 7.0 1.0 3829.0 1404.0 1227.0 1198.0
88 8.0 7.0 0.0 1.0 3924.0 1347.0 1390.0 1187.0
89 12.0 10.0 1.0 1.0 4022.0 1274.0 1320.0 1428.0
90 4.0 1.0 3.0 0.0 3796.0 1297.0 1170.0 1329.0
91 8.0 7.0 1.0 0.0 3496.0 1176.0 1163.0 1157.0
92 4.0 4.0 0.0 0.0 3343.0 1151.0 1128.0 1064.0
93 2.0 2.0 0.0 0.0 3174.0 1051.0 1080.0 1043.0
94 4.0 3.0 1.0 0.0 3033.0 1100.0 1066.0 867.0
95 3.0 3.0 0.0 0.0 3021.0 1021.0 1089.0 911.0
96 1.0 1.0 0.0 0.0 2905.0 962.0 1086.0 857.0
97 0.0 0.0 0.0 0.0 2937.0 976.0 1077.0 884.0
98 0.0 0.0 0.0 0.0 2859.0 942.0 1023.0 894.0
99 0.0 0.0 0.0 0.0 2860.0 920.0 1026.0 914.0
100 3.0 0.0 3.0 0.0 2624.0 824.0 912.0 888.0
101 4.0 0.0 4.0 0.0 2511.0 836.0 890.0 785.0
102 0.0 0.0 0.0 0.0 2381.0 878.0 781.0 722.0
103 0.0 0.0 0.0 0.0 2325.0 899.0 757.0 669.0
104 0.0 0.0 0.0 0.0 2185.0 868.0 724.0 593.0
105 0.0 0.0 0.0 0.0 2056.0 830.0 651.0 575.0
106 0.0 0.0 0.0 0.0 2011.0 767.0 648.0 596.0
107 0.0 0.0 0.0 0.0 1985.0 845.0 601.0 539.0
108 0.0 0.0 0.0 0.0 2035.0 854.0 662.0 519.0
109 0.0 0.0 0.0 0.0 1930.0 836.0 614.0 480.0
110 0.0 0.0 0.0 0.0 1773.0 731.0 596.0 446.0
111 0.0 0.0 0.0 0.0 1787.0 719.0 604.0 464.0
112 0.0 0.0 0.0 0.0 1599.0 657.0 536.0 406.0
113 0.0 0.0 0.0 0.0 1579.0 642.0 516.0 421.0
114 0.0 0.0 0.0 0.0 1496.0 543.0 523.0 430.0
115 0.0 0.0 0.0 0.0 1477.0 560.0 509.0 408.0
116 0.0 0.0 0.0 0.0 1329.0 497.0 483.0 349.0
117 0.0 0.0 0.0 0.0 1356.0 526.0 488.0 342.0
118 0.0 0.0 0.0 0.0 1440.0 611.0 503.0 326.0
119 0.0 0.0 0.0 0.0 1380.0 569.0 460.0 351.0
120 0.0 0.0 0.0 0.0 1318.0 564.0 458.0 296.0
121 0.0 0.0 0.0 0.0 1394.0 602.0 511.0 281.0
122 0.0 0.0 0.0 0.0 1342.0 539.0 490.0 313.0
123 0.0 0.0 0.0 0.0 1349.0 569.0 496.0 284.0
124 0.0 0.0 0.0 0.0 1253.0 524.0 416.0 313.0
125 0.0 0.0 0.0 0.0 1238.0 531.0 402.0 305.0
126 0.0 0.0 0.0 0.0 1175.0 544.0 365.0 266.0
127 0.0 0.0 0.0 0.0 1132.0 481.0 365.0 286.0
128 0.0 0.0 0.0 0.0 1215.0 475.0 429.0 311.0
129 0.0 0.0 0.0 0.0 1138.0 451.0 381.0 306.0
130 0.0 0.0 0.0 0.0 1119.0 392.0 401.0 326.0
131 0.0 0.0 0.0 0.0 1002.0 377.0 328.0 297.0
132 0.0 0.0 0.0 0.0 919.0 363.0 313.0 243.0
133 0.0 0.0 0.0 0.0 887.0 371.0 291.0 225.0
134 0.0 0.0 0.0 0.0 910.0 359.0 340.0 211.0
135 0.0 0.0 0.0 0.0 848.0 335.0 303.0 210.0
136 0.0 0.0 0.0 0.0 817.0 314.0 306.0 197.0
137 0.0 0.0 0.0 0.0 829.0 302.0 288.0 239.0
138 0.0 0.0 0.0 0.0 757.0 297.0 246.0 214.0
139 0.0 0.0 0.0 0.0 697.0 303.0 202.0 192.0
140 0.0 0.0 0.0 0.0 685.0 286.0 247.0 152.0
141 0.0 0.0 0.0 0.0 647.0 279.0 244.0 124.0
142 0.0 0.0 0.0 0.0 658.0 292.0 250.0 116.0
143 0.0 0.0 0.0 0.0 605.0 243.0 226.0 136.0
144 0.0 0.0 0.0 0.0 558.0 220.0 191.0 147.0
145 0.0 0.0 0.0 0.0 628.0 267.0 202.0 159.0
146 0.0 0.0 0.0 0.0 618.0 235.0 219.0 164.0
147 0.0 0.0 0.0 0.0 584.0 242.0 195.0 147.0
148 0.0 0.0 0.0 0.0 665.0 281.0 249.0 135.0
149 0.0 0.0 0.0 0.0 621.0 275.0 223.0 123.0
150 0.0 0.0 0.0 0.0 514.0 224.0 189.0 101.0
151 0.0 0.0 0.0 0.0 513.0 222.0 205.0 86.0
152 0.0 0.0 0.0 0.0 496.0 219.0 208.0 69.0
153 0.0 0.0 0.0 0.0 458.0 221.0 166.0 71.0
154 0.0 0.0 0.0 0.0 464.0 197.0 180.0 87.0
155 0.0 0.0 0.0 0.0 483.0 183.0 204.0 96.0
156 0.0 0.0 0.0 0.0 401.0 155.0 164.0 82.0
157 0.0 0.0 0.0 0.0 466.0 164.0 190.0 112.0
158 0.0 0.0 0.0 0.0 441.0 136.0 180.0 125.0
159 0.0 0.0 0.0 0.0 462.0 145.0 188.0 129.0
160 0.0 0.0 0.0 0.0 417.0 127.0 187.0 103.0
161 0.0 0.0 0.0 0.0 389.0 150.0 141.0 98.0
162 0.0 0.0 0.0 0.0 398.0 145.0 136.0 117.0
163 0.0 0.0 0.0 0.0 377.0 129.0 140.0 108.0
164 0.0 0.0 0.0 0.0 366.0 132.0 106.0 128.0
165 0.0 0.0 0.0 0.0 342.0 126.0 98.0 118.0
166 0.0 0.0 0.0 0.0 353.0 134.0 122.0 97.0
167 0.0 0.0 0.0 0.0 335.0 145.0 104.0 86.0
168 0.0 0.0 0.0 0.0 331.0 163.0 102.0 66.0
169 0.0 0.0 0.0 0.0 317.0 118.0 123.0 76.0
170 0.0 0.0 0.0 0.0 325.0 131.0 100.0 94.0
171 0.0 0.0 0.0 0.0 350.0 145.0 116.0 89.0
172 0.0 0.0 0.0 0.0 334.0 136.0 107.0 91.0
173 0.0 0.0 0.0 0.0 363.0 164.0 117.0 82.0
174 0.0 0.0 0.0 0.0 321.0 139.0 116.0 66.0
175 0.0 0.0 0.0 0.0 312.0 147.0 87.0 78.0
176 0.0 0.0 0.0 0.0 293.0 136.0 81.0 76.0
177 0.0 0.0 0.0 0.0 292.0 148.0 75.0 69.0
178 0.0 0.0 0.0 0.0 267.0 127.0 76.0 64.0
179 0.0 0.0 0.0 0.0 319.0 158.0 88.0 73.0
180 0.0 0.0 0.0 0.0 302.0 137.0 110.0 55.0
181 0.0 0.0 0.0 0.0 231.0 110.0 72.0 49.0
182 0.0 0.0 0.0 0.0 231.0 114.0 63.0 54.0
183 0.0 0.0 0.0 0.0 235.0 109.0 78.0 48.0
184 0.0 0.0 0.0 0.0 192.0 81.0 82.0 29.0
185 0.0 0.0 0.0 0.0 183.0 76.0 66.0 41.0
186 0.0 0.0 0.0 0.0 218.0 71.0 85.0 62.0
187 0.0 0.0 0.0 0.0 177.0 52.0 84.0 41.0
188 0.0 0.0 0.0 0.0 190.0 62.0 96.0 32.0
189 0.0 0.0 0.0 0.0 159.0 49.0 70.0 40.0
190 0.0 0.0 0.0 0.0 193.0 58.0 97.0 38.0
191 0.0 0.0 0.0 0.0 169.0 45.0 70.0 54.0
