#/mnt/nas-sph/120_anisotropy_evolution/610_seg3.aim
#xdim 300
#ydim 300
#zdim 196
#el_size 0.025 mm
#ice_vol_frac 0.313449546485 
#mean_cl_ice 9.58643846423 mean_cl_ice_x 10.2213698124 mean_cl_ice_y 9.42109486949 mean_cl_ice_z 9.17742213901 mean_cl_pore 20.0724009149 mean_cl_pore_x 21.4140722941 mean_cl_pore_y 19.8794666527 mean_cl_pore_z 19.063041083
#mean_cl_squared_ice 141.44157403 mean_cl_squared_ice_x 157.032905074 mean_cl_squared_ice_y 135.978302985 mean_cl_squared_ice_z 132.764611176 	mean_cl_squared_pore 773.331901705 mean_cl_squared_pore_x 866.406845713 mean_cl_squared_pore_y 767.928963623 mean_cl_squared_pore_z 695.656615772
#i l_ice l_ice_x l_ice_y l_ice_z l_pore l_pore_x l_pore_y l_pore_z
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 77202.0 19273.0 26509.0 31420.0 56684.0 14143.0 19336.0 23205.0
2 114286.0 29201.0 40426.0 44659.0 84074.0 21671.0 29195.0 33208.0
3 127736.0 34390.0 45458.0 47888.0 92713.0 25273.0 32676.0 34764.0
4 130951.0 37243.0 45558.0 48150.0 88138.0 25800.0 30482.0 31856.0
5 128345.0 38811.0 43969.0 45565.0 80270.0 23821.0 27896.0 28553.0
6 122576.0 38216.0 41425.0 42935.0 73289.0 22098.0 25328.0 25863.0
7 114562.0 36119.0 38405.0 40038.0 69219.0 20727.0 23763.0 24729.0
8 106976.0 33759.0 35773.0 37444.0 64811.0 19759.0 21941.0 23111.0
9 99235.0 31403.0 33173.0 34659.0 60861.0 18991.0 20128.0 21742.0
10 89592.0 28548.0 30034.0 31010.0 57260.0 17806.0 18908.0 20546.0
11 80761.0 26657.0 27198.0 26906.0 53965.0 16822.0 17760.0 19383.0
12 71344.0 24369.0 23508.0 23467.0 50832.0 15827.0 16984.0 18021.0
13 63685.0 21983.0 21328.0 20374.0 48660.0 14870.0 16730.0 17060.0
14 56616.0 19706.0 18976.0 17934.0 45900.0 14444.0 15364.0 16092.0
15 49358.0 17187.0 16547.0 15624.0 43827.0 13923.0 14741.0 15163.0
16 42990.0 14711.0 14598.0 13681.0 41716.0 13442.0 13967.0 14307.0
17 37167.0 12773.0 12605.0 11789.0 39845.0 12848.0 13187.0 13810.0
18 32318.0 10996.0 11114.0 10208.0 37661.0 12093.0 12399.0 13169.0
19 27725.0 9539.0 9511.0 8675.0 34397.0 11122.0 11500.0 11775.0
20 23616.0 8183.0 8055.0 7378.0 33308.0 10632.0 11124.0 11552.0
21 19992.0 6868.0 6828.0 6296.0 31757.0 10568.0 10593.0 10596.0
22 17114.0 5998.0 5747.0 5369.0 30450.0 10142.0 10061.0 10247.0
23 14852.0 5228.0 4923.0 4701.0 28897.0 9675.0 9367.0 9855.0
24 12609.0 4329.0 4189.0 4091.0 27458.0 9156.0 8978.0 9324.0
25 10657.0 3765.0 3542.0 3350.0 26394.0 8739.0 8692.0 8963.0
26 8787.0 3151.0 2838.0 2798.0 25297.0 8381.0 8294.0 8622.0
27 7552.0 2718.0 2352.0 2482.0 23727.0 7753.0 7792.0 8182.0
28 6185.0 2277.0 1950.0 1958.0 22356.0 7275.0 7322.0 7759.0
29 5212.0 1958.0 1619.0 1635.0 21570.0 7046.0 7026.0 7498.0
30 4603.0 1690.0 1450.0 1463.0 20608.0 6797.0 6727.0 7084.0
31 3827.0 1428.0 1170.0 1229.0 19561.0 6237.0 6586.0 6738.0
32 3315.0 1293.0 985.0 1037.0 18398.0 5882.0 6256.0 6260.0
33 2880.0 1085.0 892.0 903.0 17897.0 5702.0 6106.0 6089.0
34 2305.0 922.0 606.0 777.0 16910.0 5427.0 5730.0 5753.0
35 1871.0 742.0 519.0 610.0 15883.0 5192.0 5372.0 5319.0
