#/mnt/nas-sph/120_anisotropy_evolution/576_seg3.aim
#xdim 300
#ydim 300
#zdim 196
#el_size 0.025 mm
#ice_vol_frac 0.326261451247 
#mean_cl_ice 7.34982619156 mean_cl_ice_x 7.92405903338 mean_cl_ice_y 7.23767197364 mean_cl_ice_z 6.95366800498 mean_cl_pore 14.7357404768 mean_cl_pore_x 15.9047966993 mean_cl_pore_y 14.5829244261 mean_cl_pore_z 13.862092293
#mean_cl_squared_ice 79.2235611531 mean_cl_squared_ice_x 91.8933031897 mean_cl_squared_ice_y 76.4225257174 mean_cl_squared_ice_z 70.7964966164 	mean_cl_squared_pore 397.805518818 mean_cl_squared_pore_x 459.178575109 mean_cl_squared_pore_y 392.227233407 mean_cl_squared_pore_z 349.617353818
#i l_ice l_ice_x l_ice_y l_ice_z l_pore l_pore_x l_pore_y l_pore_z
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 112639.0 28880.0 38493.0 45266.0 73076.0 18702.0 24486.0 29888.0
2 169880.0 45773.0 58371.0 65736.0 118692.0 31072.0 40546.0 47074.0
3 198227.0 54766.0 69436.0 74025.0 147847.0 39894.0 50996.0 56957.0
4 226721.0 63667.0 79188.0 83866.0 155088.0 43973.0 53883.0 57232.0
5 257082.0 73230.0 88330.0 95522.0 146227.0 42464.0 50126.0 53637.0
6 263155.0 77564.0 89025.0 96566.0 134942.0 40248.0 45736.0 48958.0
7 232689.0 72524.0 77621.0 82544.0 121305.0 36056.0 41582.0 43667.0
8 186649.0 60775.0 62087.0 63787.0 110938.0 33455.0 37367.0 40116.0
9 141912.0 47416.0 47155.0 47341.0 103424.0 31545.0 34559.0 37320.0
10 108017.0 37194.0 36181.0 34642.0 95066.0 29359.0 32287.0 33420.0
11 84485.0 28971.0 28838.0 26676.0 87042.0 26996.0 29198.0 30848.0
12 67770.0 23421.0 23082.0 21267.0 80593.0 25389.0 26875.0 28329.0
13 54759.0 19110.0 18605.0 17044.0 74135.0 23562.0 24749.0 25824.0
14 45122.0 16181.0 14898.0 14043.0 68853.0 21631.0 23299.0 23923.0
15 37651.0 13647.0 12438.0 11566.0 63935.0 20268.0 21607.0 22060.0
16 29634.0 10684.0 9767.0 9183.0 58923.0 18883.0 19523.0 20517.0
17 24964.0 9096.0 8243.0 7625.0 55365.0 17597.0 18225.0 19543.0
18 20357.0 7610.0 6519.0 6228.0 51515.0 16424.0 17221.0 17870.0
19 16434.0 6375.0 5246.0 4813.0 47987.0 15378.0 16111.0 16498.0
20 13181.0 5261.0 4074.0 3846.0 44497.0 14156.0 14983.0 15358.0
21 10809.0 4379.0 3303.0 3127.0 41235.0 13225.0 13900.0 14110.0
22 8572.0 3487.0 2645.0 2440.0 38684.0 12583.0 13026.0 13075.0
23 7037.0 2888.0 2155.0 1994.0 35568.0 11840.0 11659.0 12069.0
24 5579.0 2239.0 1778.0 1562.0 33035.0 11071.0 10864.0 11100.0
25 4609.0 1883.0 1432.0 1294.0 30861.0 10279.0 10300.0 10282.0
