#/mnt/nas-sph/120_anisotropy_evolution/c0002981_seg_adthreshold_scaledsub.aim
#xdim 190
#ydim 190
#zdim 190
#el_size 0.036 mm
#ice_vol_frac 0.337226126257 
#mean_cl_ice 14.5365650302 mean_cl_ice_x 14.2216278698 mean_cl_ice_y 14.6647942331 mean_cl_ice_z 14.7340144981 mean_cl_pore 26.4820752409 mean_cl_pore_x 26.2806021575 mean_cl_pore_y 26.55276423 mean_cl_pore_z 26.6152585142
#mean_cl_squared_ice 331.965007175 mean_cl_squared_ice_x 295.892647656 mean_cl_squared_ice_y 330.16263544 mean_cl_squared_ice_z 371.147885799 	mean_cl_squared_pore 1363.91037038 mean_cl_squared_pore_x 1336.58251338 mean_cl_squared_pore_y 1358.26519085 mean_cl_squared_pore_z 1397.2446854
#i l_ice l_ice_x l_ice_y l_ice_z l_pore l_pore_x l_pore_y l_pore_z
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 13007.0 4119.0 3977.0 4911.0 16341.0 5432.0 5503.0 5406.0
2 15518.0 5017.0 4893.0 5608.0 21202.0 7034.0 7139.0 7029.0
3 18372.0 5874.0 5883.0 6615.0 22321.0 7278.0 7513.0 7530.0
4 21176.0 6889.0 6773.0 7514.0 20953.0 6803.0 7004.0 7146.0
5 22983.0 7524.0 7410.0 8049.0 18975.0 6137.0 6254.0 6584.0
6 23697.0 7683.0 7828.0 8186.0 16561.0 5606.0 5296.0 5659.0
7 24301.0 8330.0 7776.0 8195.0 15338.0 5190.0 4926.0 5222.0
8 24249.0 8374.0 7715.0 8160.0 14210.0 4950.0 4689.0 4571.0
9 23282.0 7787.0 7661.0 7834.0 13328.0 4479.0 4520.0 4329.0
10 21988.0 7392.0 7399.0 7197.0 12652.0 4210.0 4177.0 4265.0
11 21135.0 7269.0 7059.0 6807.0 12171.0 3930.0 3978.0 4263.0
12 19794.0 6997.0 6728.0 6069.0 11502.0 3713.0 3729.0 4060.0
13 18443.0 6388.0 6228.0 5827.0 11044.0 3515.0 3646.0 3883.0
14 17445.0 6406.0 5802.0 5237.0 10628.0 3552.0 3523.0 3553.0
15 16402.0 6035.0 5379.0 4988.0 10119.0 3392.0 3352.0 3375.0
16 15753.0 6034.0 4940.0 4779.0 9981.0 3246.0 3476.0 3259.0
17 14903.0 5576.0 4803.0 4524.0 9435.0 2980.0 3424.0 3031.0
18 13608.0 4848.0 4436.0 4324.0 9087.0 3022.0 3207.0 2858.0
19 12499.0 4524.0 4149.0 3826.0 8823.0 3104.0 2889.0 2830.0
20 11589.0 4141.0 3961.0 3487.0 8698.0 3118.0 2742.0 2838.0
21 10678.0 3656.0 3772.0 3250.0 8303.0 3047.0 2575.0 2681.0
22 9276.0 3198.0 3238.0 2840.0 8154.0 2962.0 2642.0 2550.0
23 8335.0 2893.0 2912.0 2530.0 8040.0 2824.0 2719.0 2497.0
24 7324.0 2517.0 2648.0 2159.0 7899.0 2759.0 2683.0 2457.0
25 6469.0 2263.0 2270.0 1936.0 7552.0 2580.0 2481.0 2491.0
26 5946.0 2167.0 2052.0 1727.0 7350.0 2665.0 2354.0 2331.0
27 5461.0 1993.0 1954.0 1514.0 6892.0 2515.0 2277.0 2100.0
28 4964.0 1730.0 1892.0 1342.0 6816.0 2526.0 2157.0 2133.0
29 4440.0 1623.0 1697.0 1120.0 6673.0 2491.0 2114.0 2068.0
30 4117.0 1438.0 1530.0 1149.0 6348.0 2183.0 2148.0 2017.0
31 3566.0 1256.0 1211.0 1099.0 5959.0 2080.0 1971.0 1908.0
32 3417.0 1290.0 1108.0 1019.0 5782.0 2053.0 1794.0 1935.0
33 3057.0 987.0 1098.0 972.0 5592.0 1904.0 1821.0 1867.0
34 2798.0 925.0 960.0 913.0 5571.0 1943.0 1739.0 1889.0
35 2710.0 912.0 912.0 886.0 5673.0 1885.0 1734.0 2054.0
36 2472.0 927.0 735.0 810.0 5310.0 1757.0 1686.0 1867.0
37 2239.0 772.0 702.0 765.0 5125.0 1758.0 1649.0 1718.0
38 2064.0 746.0 673.0 645.0 4961.0 1738.0 1666.0 1557.0
39 1920.0 757.0 536.0 627.0 5040.0 1789.0 1787.0 1464.0
40 1668.0 651.0 468.0 549.0 4686.0 1722.0 1569.0 1395.0
41 1424.0 462.0 466.0 496.0 4514.0 1676.0 1501.0 1337.0
42 1278.0 458.0 382.0 438.0 4541.0 1654.0 1514.0 1373.0
