#/mnt/nas-sph/120_anisotropy_evolution/c0003011_seg_adthreshold_scaledsub.aim
#xdim 190
#ydim 190
#zdim 190
#el_size 0.036 mm
#ice_vol_frac 0.211163143315 
#mean_cl_ice 3.51645206976 mean_cl_ice_x 3.70332831329 mean_cl_ice_y 3.73479386494 mean_cl_ice_z 3.17105093192 mean_cl_pore 12.5115878611 mean_cl_pore_x 13.1462587348 mean_cl_pore_y 13.2259217342 mean_cl_pore_z 11.350563476
#mean_cl_squared_ice 17.9754525958 mean_cl_squared_ice_x 19.7719043004 mean_cl_squared_ice_y 20.2720549556 mean_cl_squared_ice_z 14.4872588107 	mean_cl_squared_pore 292.41593434 mean_cl_squared_pore_x 316.456862955 mean_cl_squared_pore_y 326.835800173 mean_cl_squared_pore_z 242.119513137
#i l_ice l_ice_x l_ice_y l_ice_z l_pore l_pore_x l_pore_y l_pore_z
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 187315.0 52917.0 51952.0 82446.0 56447.0 15996.0 16260.0 24191.0
2 307343.0 88973.0 87763.0 130607.0 95830.0 27309.0 27613.0 40908.0
3 266378.0 84453.0 83361.0 98564.0 101081.0 30139.0 30303.0 40639.0
4 174547.0 58825.0 58459.0 57263.0 90582.0 27497.0 27492.0 35593.0
5 108764.0 37432.0 37095.0 34237.0 81126.0 24728.0 24796.0 31602.0
6 68502.0 24080.0 23687.0 20735.0 74410.0 22789.0 22769.0 28852.0
7 44028.0 15604.0 15711.0 12713.0 67415.0 21421.0 20739.0 25255.0
8 27364.0 9822.0 10108.0 7434.0 61615.0 19049.0 19400.0 23166.0
9 17761.0 6350.0 6562.0 4849.0 55915.0 17623.0 17436.0 20856.0
10 11512.0 4211.0 4297.0 3004.0 51267.0 16294.0 16131.0 18842.0
11 7405.0 2741.0 2853.0 1811.0 46261.0 14875.0 14399.0 16987.0
12 4909.0 1872.0 1921.0 1116.0 42525.0 13616.0 13451.0 15458.0
