#/mnt/nas-sph/120_anisotropy_evolution/2167.aim
#xdim 300
#ydim 300
#zdim 300
#el_size 0.018 mm
#ice_vol_frac 0.219593703704 
#mean_cl_ice 7.42873884567 mean_cl_ice_x 8.21204390076 mean_cl_ice_y 7.53340397849 mean_cl_ice_z 6.69691123616 mean_cl_pore 24.9005501031 mean_cl_pore_x 27.3861648397 mean_cl_pore_y 25.217812267 mean_cl_pore_z 22.5682854676
#mean_cl_squared_ice 90.7519155416 mean_cl_squared_ice_x 113.249058161 mean_cl_squared_ice_y 91.2160318767 mean_cl_squared_ice_z 71.9929428083 	mean_cl_squared_pore 1290.21136565 mean_cl_squared_pore_x 1575.52208858 mean_cl_squared_pore_y 1343.35441782 mean_cl_squared_pore_z 1007.5340608
#i l_ice l_ice_x l_ice_y l_ice_z l_pore l_pore_x l_pore_y l_pore_z
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 151953.0 44074.0 49059.0 58820.0 73512.0 21793.0 25291.0 26428.0
2 246112.0 70371.0 78760.0 96981.0 111929.0 33431.0 38550.0 39948.0
3 274475.0 77769.0 86609.0 110097.0 123773.0 37124.0 42266.0 44383.0
4 252435.0 70183.0 79834.0 102418.0 117153.0 34963.0 39271.0 42919.0
5 216109.0 59305.0 68628.0 88176.0 103440.0 31088.0 34061.0 38291.0
6 185720.0 50043.0 60723.0 74954.0 91612.0 27486.0 29582.0 34544.0
7 162492.0 44520.0 53960.0 64012.0 83054.0 24364.0 26573.0 32117.0
8 141270.0 39158.0 48749.0 53363.0 77366.0 22249.0 24613.0 30504.0
9 121409.0 35045.0 42076.0 44288.0 72316.0 20453.0 23209.0 28654.0
10 104081.0 31494.0 35836.0 36751.0 68662.0 19627.0 22111.0 26924.0
11 88758.0 28158.0 30299.0 30301.0 65329.0 18221.0 21331.0 25777.0
12 74978.0 24985.0 25475.0 24518.0 62289.0 17452.0 20261.0 24576.0
13 62686.0 21663.0 21444.0 19579.0 59481.0 16563.0 19469.0 23449.0
14 51487.0 18754.0 17406.0 15327.0 56888.0 15621.0 18582.0 22685.0
