#/mnt/nas-sph/120_anisotropy_evolution/2166.aim
#xdim 300
#ydim 300
#zdim 300
#el_size 0.018 mm
#ice_vol_frac 0.219145259259 
#mean_cl_ice 7.24112897995 mean_cl_ice_x 7.97300971947 mean_cl_ice_y 7.34330821823 mean_cl_ice_z 6.54885363114 mean_cl_pore 24.366880674 mean_cl_pore_x 26.6955167449 mean_cl_pore_y 24.6850169304 mean_cl_pore_z 22.1493475931
#mean_cl_squared_ice 85.8613524377 mean_cl_squared_ice_x 106.462634699 mean_cl_squared_ice_y 86.6013252134 mean_cl_squared_ice_z 68.2799984505 	mean_cl_squared_pore 1219.32853387 mean_cl_squared_pore_x 1483.4072232 mean_cl_squared_pore_y 1260.51730041 mean_cl_squared_pore_z 963.263864434
#i l_ice l_ice_x l_ice_y l_ice_z l_pore l_pore_x l_pore_y l_pore_z
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 156329.0 45543.0 50903.0 59883.0 72611.0 22076.0 25226.0 25309.0
2 253640.0 73735.0 81236.0 98669.0 109836.0 33654.0 38163.0 38019.0
3 283057.0 81775.0 89462.0 111820.0 122506.0 37332.0 41451.0 43723.0
4 263132.0 74325.0 83165.0 105642.0 117666.0 35575.0 38960.0 43131.0
5 229955.0 62645.0 72812.0 94498.0 106074.0 31813.0 34007.0 40254.0
6 199635.0 53397.0 64804.0 81434.0 96470.0 28449.0 30699.0 37322.0
7 173821.0 47198.0 57919.0 68704.0 88506.0 25817.0 27749.0 34940.0
8 148859.0 41518.0 50924.0 56417.0 81920.0 23901.0 25857.0 32162.0
9 125658.0 36452.0 43743.0 45463.0 76552.0 22495.0 23883.0 30174.0
10 104380.0 31994.0 36504.0 35882.0 72811.0 21228.0 23060.0 28523.0
11 87080.0 28127.0 30252.0 28701.0 69269.0 19841.0 22137.0 27291.0
12 72474.0 24854.0 24866.0 22754.0 66526.0 18474.0 21887.0 26165.0
13 60401.0 21609.0 20608.0 18184.0 63241.0 17468.0 20793.0 24980.0
14 49162.0 18503.0 16566.0 14093.0 60826.0 16536.0 20094.0 24196.0
15 40443.0 15390.0 13722.0 11331.0 57492.0 15702.0 18840.0 22950.0
16 33757.0 12980.0 11655.0 9122.0 54730.0 15159.0 17593.0 21978.0
17 27930.0 10801.0 9757.0 7372.0 51915.0 14550.0 16416.0 20949.0
18 23401.0 9152.0 7920.0 6329.0 49604.0 13397.0 15883.0 20324.0
19 19171.0 7795.0 6463.0 4913.0 46990.0 12917.0 15163.0 18910.0
20 15788.0 6542.0 5451.0 3795.0 44355.0 12221.0 14406.0 17728.0
21 13108.0 5503.0 4462.0 3143.0 42423.0 12012.0 13496.0 16915.0
22 10905.0 4782.0 3628.0 2495.0 40227.0 11307.0 13134.0 15786.0
23 8976.0 4042.0 2883.0 2051.0 38807.0 10837.0 12939.0 15031.0
24 7394.0 3393.0 2396.0 1605.0 37134.0 10425.0 12284.0 14425.0
25 6223.0 2937.0 1981.0 1305.0 36091.0 10324.0 11686.0 14081.0
26 5473.0 2481.0 1764.0 1228.0 34947.0 10004.0 11228.0 13715.0
27 4523.0 2014.0 1476.0 1033.0 33340.0 9778.0 10853.0 12709.0
28 4010.0 1752.0 1365.0 893.0 31895.0 9506.0 10595.0 11794.0
29 3409.0 1563.0 1106.0 740.0 31070.0 9113.0 10738.0 11219.0
30 2878.0 1286.0 994.0 598.0 29231.0 8626.0 10215.0 10390.0
31 2343.0 1047.0 824.0 472.0 28137.0 8378.0 9552.0 10207.0
32 1967.0 937.0 658.0 372.0 27011.0 7813.0 9161.0 10037.0
33 1719.0 813.0 559.0 347.0 26277.0 7721.0 8809.0 9747.0
34 1457.0 749.0 411.0 297.0 25060.0 7230.0 8559.0 9271.0
35 1174.0 583.0 348.0 243.0 24387.0 7206.0 8277.0 8904.0
36 1096.0 531.0 340.0 225.0 23805.0 6985.0 7900.0 8920.0
37 915.0 461.0 268.0 186.0 22611.0 6721.0 7743.0 8147.0
38 771.0 365.0 233.0 173.0 22201.0 6750.0 7210.0 8241.0
39 699.0 327.0 231.0 141.0 20683.0 6387.0 6811.0 7485.0
40 601.0 272.0 184.0 145.0 19772.0 6131.0 6603.0 7038.0
41 442.0 215.0 131.0 96.0 19355.0 5991.0 6364.0 7000.0
42 386.0 210.0 110.0 66.0 18479.0 5830.0 5946.0 6703.0
43 296.0 167.0 77.0 52.0 17781.0 5881.0 5708.0 6192.0
44 265.0 156.0 76.0 33.0 16661.0 5567.0 5532.0 5562.0
45 272.0 156.0 80.0 36.0 16076.0 5450.0 5420.0 5206.0
46 225.0 129.0 66.0 30.0 15490.0 5160.0 5300.0 5030.0
47 206.0 113.0 52.0 41.0 14811.0 4943.0 4915.0 4953.0
48 204.0 92.0 49.0 63.0 14527.0 4758.0 4777.0 4992.0
49 144.0 64.0 36.0 44.0 14007.0 4606.0 4607.0 4794.0
50 118.0 61.0 22.0 35.0 13354.0 4428.0 4406.0 4520.0
51 108.0 56.0 26.0 26.0 12999.0 4379.0 4289.0 4331.0
52 120.0 76.0 24.0 20.0 12687.0 4385.0 4070.0 4232.0
53 105.0 58.0 24.0 23.0 12208.0 4205.0 3850.0 4153.0
54 90.0 44.0 22.0 24.0 11575.0 3796.0 3884.0 3895.0
55 72.0 38.0 19.0 15.0 10926.0 3699.0 3588.0 3639.0
56 41.0 24.0 8.0 9.0 10417.0 3625.0 3378.0 3414.0
57 61.0 33.0 10.0 18.0 10137.0 3566.0 3287.0 3284.0
58 64.0 23.0 11.0 30.0 9869.0 3472.0 3240.0 3157.0
59 53.0 21.0 4.0 28.0 9414.0 3477.0 3040.0 2897.0
60 61.0 28.0 9.0 24.0 9059.0 3285.0 3063.0 2711.0
61 47.0 32.0 4.0 11.0 8639.0 3162.0 2825.0 2652.0
62 45.0 21.0 10.0 14.0 8485.0 3071.0 2809.0 2605.0
63 39.0 19.0 8.0 12.0 8020.0 2898.0 2766.0 2356.0
64 37.0 18.0 7.0 12.0 7584.0 2890.0 2469.0 2225.0
65 26.0 12.0 8.0 6.0 7424.0 2768.0 2414.0 2242.0
66 21.0 11.0 4.0 6.0 6884.0 2539.0 2301.0 2044.0
67 16.0 12.0 3.0 1.0 6558.0 2376.0 2158.0 2024.0
68 16.0 7.0 4.0 5.0 6339.0 2348.0 2103.0 1888.0
69 13.0 7.0 1.0 5.0 6086.0 2243.0 2066.0 1777.0
70 20.0 8.0 0.0 12.0 5620.0 2029.0 2054.0 1537.0
71 4.0 2.0 2.0 0.0 5598.0 2043.0 2021.0 1534.0
72 7.0 5.0 2.0 0.0 5336.0 2007.0 1801.0 1528.0
73 11.0 8.0 3.0 0.0 5110.0 1908.0 1698.0 1504.0
74 8.0 8.0 0.0 0.0 4961.0 1890.0 1635.0 1436.0
75 3.0 0.0 1.0 2.0 4708.0 1876.0 1508.0 1324.0
76 3.0 2.0 1.0 0.0 4546.0 1810.0 1561.0 1175.0
77 1.0 1.0 0.0 0.0 4538.0 1774.0 1596.0 1168.0
78 0.0 0.0 0.0 0.0 4309.0 1637.0 1530.0 1142.0
79 2.0 2.0 0.0 0.0 4155.0 1609.0 1381.0 1165.0
80 2.0 2.0 0.0 0.0 4073.0 1612.0 1294.0 1167.0
81 3.0 2.0 0.0 1.0 4044.0 1717.0 1320.0 1007.0
82 2.0 0.0 0.0 2.0 3746.0 1592.0 1248.0 906.0
83 0.0 0.0 0.0 0.0 3641.0 1451.0 1270.0 920.0
84 0.0 0.0 0.0 0.0 3342.0 1380.0 1133.0 829.0
85 1.0 0.0 0.0 1.0 3257.0 1293.0 1098.0 866.0
86 6.0 2.0 0.0 4.0 3089.0 1176.0 977.0 936.0
87 0.0 0.0 0.0 0.0 3115.0 1230.0 1008.0 877.0
88 0.0 0.0 0.0 0.0 2944.0 1225.0 911.0 808.0
89 1.0 1.0 0.0 0.0 2863.0 1202.0 961.0 700.0
90 0.0 0.0 0.0 0.0 2854.0 1173.0 979.0 702.0
91 0.0 0.0 0.0 0.0 2703.0 1138.0 936.0 629.0
92 0.0 0.0 0.0 0.0 2632.0 1113.0 901.0 618.0
93 0.0 0.0 0.0 0.0 2524.0 1083.0 867.0 574.0
94 0.0 0.0 0.0 0.0 2340.0 999.0 832.0 509.0
95 0.0 0.0 0.0 0.0 2211.0 904.0 763.0 544.0
96 0.0 0.0 0.0 0.0 2156.0 904.0 667.0 585.0
97 0.0 0.0 0.0 0.0 1961.0 766.0 662.0 533.0
98 0.0 0.0 0.0 0.0 1871.0 742.0 636.0 493.0
99 0.0 0.0 0.0 0.0 1800.0 759.0 638.0 403.0
100 0.0 0.0 0.0 0.0 1794.0 721.0 683.0 390.0
101 0.0 0.0 0.0 0.0 1621.0 668.0 566.0 387.0
102 0.0 0.0 0.0 0.0 1629.0 665.0 589.0 375.0
103 0.0 0.0 0.0 0.0 1593.0 653.0 597.0 343.0
104 0.0 0.0 0.0 0.0 1501.0 628.0 522.0 351.0
105 0.0 0.0 0.0 0.0 1487.0 637.0 471.0 379.0
106 0.0 0.0 0.0 0.0 1365.0 586.0 445.0 334.0
107 0.0 0.0 0.0 0.0 1299.0 546.0 456.0 297.0
108 0.0 0.0 0.0 0.0 1285.0 547.0 443.0 295.0
109 0.0 0.0 0.0 0.0 1243.0 534.0 374.0 335.0
110 0.0 0.0 0.0 0.0 1084.0 411.0 404.0 269.0
111 0.0 0.0 0.0 0.0 1178.0 485.0 395.0 298.0
112 0.0 0.0 0.0 0.0 1106.0 478.0 373.0 255.0
113 0.0 0.0 0.0 0.0 1121.0 515.0 358.0 248.0
114 0.0 0.0 0.0 0.0 986.0 421.0 369.0 196.0
115 0.0 0.0 0.0 0.0 978.0 417.0 371.0 190.0
116 0.0 0.0 0.0 0.0 926.0 390.0 353.0 183.0
117 0.0 0.0 0.0 0.0 888.0 354.0 338.0 196.0
118 0.0 0.0 0.0 0.0 911.0 327.0 385.0 199.0
119 0.0 0.0 0.0 0.0 911.0 379.0 326.0 206.0
120 0.0 0.0 0.0 0.0 838.0 367.0 323.0 148.0
121 0.0 0.0 0.0 0.0 780.0 368.0 265.0 147.0
122 0.0 0.0 0.0 0.0 761.0 347.0 260.0 154.0
123 0.0 0.0 0.0 0.0 738.0 333.0 282.0 123.0
124 0.0 0.0 0.0 0.0 736.0 309.0 264.0 163.0
125 0.0 0.0 0.0 0.0 725.0 303.0 254.0 168.0
126 0.0 0.0 0.0 0.0 660.0 267.0 260.0 133.0
127 0.0 0.0 0.0 0.0 674.0 261.0 248.0 165.0
128 0.0 0.0 0.0 0.0 676.0 277.0 242.0 157.0
129 0.0 0.0 0.0 0.0 551.0 255.0 202.0 94.0
130 0.0 0.0 0.0 0.0 598.0 269.0 211.0 118.0
131 0.0 0.0 0.0 0.0 514.0 229.0 206.0 79.0
132 0.0 0.0 0.0 0.0 554.0 253.0 217.0 84.0
133 0.0 0.0 0.0 0.0 497.0 221.0 171.0 105.0
134 0.0 0.0 0.0 0.0 448.0 216.0 132.0 100.0
135 0.0 0.0 0.0 0.0 519.0 242.0 164.0 113.0
136 0.0 0.0 0.0 0.0 521.0 249.0 140.0 132.0
137 0.0 0.0 0.0 0.0 495.0 257.0 142.0 96.0
138 0.0 0.0 0.0 0.0 432.0 195.0 151.0 86.0
139 0.0 0.0 0.0 0.0 399.0 201.0 139.0 59.0
140 0.0 0.0 0.0 0.0 436.0 219.0 143.0 74.0
141 0.0 0.0 0.0 0.0 403.0 170.0 164.0 69.0
142 0.0 0.0 0.0 0.0 347.0 172.0 124.0 51.0
143 0.0 0.0 0.0 0.0 361.0 166.0 116.0 79.0
144 0.0 0.0 0.0 0.0 333.0 157.0 121.0 55.0
145 0.0 0.0 0.0 0.0 336.0 166.0 127.0 43.0
146 0.0 0.0 0.0 0.0 375.0 171.0 140.0 64.0
147 0.0 0.0 0.0 0.0 334.0 176.0 96.0 62.0
148 0.0 0.0 0.0 0.0 341.0 164.0 104.0 73.0
149 0.0 0.0 0.0 0.0 345.0 129.0 113.0 103.0
150 0.0 0.0 0.0 0.0 340.0 158.0 106.0 76.0
151 0.0 0.0 0.0 0.0 347.0 134.0 147.0 66.0
152 0.0 0.0 0.0 0.0 250.0 97.0 103.0 50.0
153 0.0 0.0 0.0 0.0 267.0 107.0 117.0 43.0
154 0.0 0.0 0.0 0.0 303.0 125.0 132.0 46.0
155 0.0 0.0 0.0 0.0 227.0 105.0 98.0 24.0
156 0.0 0.0 0.0 0.0 254.0 108.0 107.0 39.0
157 0.0 0.0 0.0 0.0 246.0 103.0 103.0 40.0
158 0.0 0.0 0.0 0.0 220.0 91.0 103.0 26.0
159 0.0 0.0 0.0 0.0 220.0 111.0 94.0 15.0
160 0.0 0.0 0.0 0.0 209.0 119.0 73.0 17.0
161 0.0 0.0 0.0 0.0 198.0 95.0 80.0 23.0
162 0.0 0.0 0.0 0.0 217.0 128.0 57.0 32.0
163 0.0 0.0 0.0 0.0 169.0 81.0 67.0 21.0
164 0.0 0.0 0.0 0.0 177.0 91.0 68.0 18.0
165 0.0 0.0 0.0 0.0 172.0 55.0 83.0 34.0
166 0.0 0.0 0.0 0.0 185.0 58.0 95.0 32.0
167 0.0 0.0 0.0 0.0 205.0 73.0 85.0 47.0
168 0.0 0.0 0.0 0.0 206.0 86.0 81.0 39.0
169 0.0 0.0 0.0 0.0 192.0 80.0 88.0 24.0
170 0.0 0.0 0.0 0.0 163.0 64.0 70.0 29.0
171 0.0 0.0 0.0 0.0 148.0 47.0 71.0 30.0
172 0.0 0.0 0.0 0.0 132.0 44.0 55.0 33.0
173 0.0 0.0 0.0 0.0 110.0 41.0 43.0 26.0
174 0.0 0.0 0.0 0.0 97.0 43.0 35.0 19.0
175 0.0 0.0 0.0 0.0 104.0 44.0 44.0 16.0
176 0.0 0.0 0.0 0.0 110.0 36.0 48.0 26.0
177 0.0 0.0 0.0 0.0 83.0 31.0 40.0 12.0
178 0.0 0.0 0.0 0.0 92.0 29.0 43.0 20.0
179 0.0 0.0 0.0 0.0 99.0 42.0 40.0 17.0
180 0.0 0.0 0.0 0.0 88.0 39.0 36.0 13.0
181 0.0 0.0 0.0 0.0 99.0 34.0 39.0 26.0
182 0.0 0.0 0.0 0.0 102.0 41.0 47.0 14.0
183 0.0 0.0 0.0 0.0 95.0 38.0 41.0 16.0
184 0.0 0.0 0.0 0.0 99.0 44.0 31.0 24.0
185 0.0 0.0 0.0 0.0 99.0 41.0 26.0 32.0
186 0.0 0.0 0.0 0.0 61.0 27.0 20.0 14.0
187 0.0 0.0 0.0 0.0 54.0 19.0 24.0 11.0
188 0.0 0.0 0.0 0.0 61.0 25.0 21.0 15.0
189 0.0 0.0 0.0 0.0 88.0 23.0 43.0 22.0
