#/mnt/nas-sph/120_anisotropy_evolution/2189.aim
#xdim 300
#ydim 300
#zdim 300
#el_size 0.018 mm
#ice_vol_frac 0.241622407407 
#mean_cl_ice 11.6010516657 mean_cl_ice_x 12.2145987916 mean_cl_ice_y 11.4781154496 mean_cl_ice_z 11.1600065005 mean_cl_pore 33.5497495863 mean_cl_pore_x 35.4989675994 mean_cl_pore_y 32.9371905532 mean_cl_pore_z 32.3741985976
#mean_cl_squared_ice 239.204611277 mean_cl_squared_ice_x 259.054341985 mean_cl_squared_ice_y 238.184811276 mean_cl_squared_ice_z 222.060216912 	mean_cl_squared_pore 2426.36224569 mean_cl_squared_pore_x 2612.1302489 mean_cl_squared_pore_y 2377.81980427 mean_cl_squared_pore_z 2304.65903697
#i l_ice l_ice_x l_ice_y l_ice_z l_pore l_pore_x l_pore_y l_pore_z
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 80571.0 23992.0 27102.0 29477.0 61524.0 17815.0 20346.0 23363.0
2 127617.0 37994.0 43167.0 46456.0 92240.0 26008.0 31181.0 35051.0
3 137299.0 40500.0 46649.0 50150.0 96631.0 27759.0 32710.0 36162.0
4 124633.0 36340.0 42961.0 45332.0 82441.0 24599.0 27926.0 29916.0
5 107343.0 31138.0 37059.0 39146.0 65026.0 19225.0 21837.0 23964.0
6 95159.0 27826.0 33290.0 34043.0 53269.0 15608.0 18241.0 19420.0
7 86143.0 25131.0 30398.0 30614.0 45820.0 13411.0 15492.0 16917.0
8 79537.0 23662.0 27956.0 27919.0 40768.0 12219.0 13677.0 14872.0
9 73391.0 22662.0 25504.0 25225.0 37501.0 11118.0 12746.0 13637.0
10 68362.0 21720.0 23587.0 23055.0 35439.0 10490.0 12335.0 12614.0
11 63050.0 20861.0 21149.0 21040.0 33412.0 10016.0 11602.0 11794.0
12 57593.0 19571.0 18935.0 19087.0 31696.0 9397.0 10931.0 11368.0
13 53183.0 18298.0 16990.0 17895.0 30504.0 9197.0 10763.0 10544.0
14 47871.0 16581.0 15273.0 16017.0 28489.0 8810.0 9984.0 9695.0
15 43766.0 15218.0 14185.0 14363.0 27713.0 8717.0 9795.0 9201.0
16 40360.0 14096.0 13038.0 13226.0 27078.0 8482.0 9516.0 9080.0
17 36626.0 12585.0 12067.0 11974.0 26715.0 8365.0 9376.0 8974.0
18 34069.0 11976.0 10883.0 11210.0 25996.0 8288.0 9155.0 8553.0
19 31230.0 10743.0 10039.0 10448.0 25531.0 8024.0 9064.0 8443.0
20 28692.0 9888.0 9216.0 9588.0 24268.0 7490.0 8582.0 8196.0
21 26309.0 9069.0 8643.0 8597.0 23287.0 7145.0 8490.0 7652.0
22 23960.0 8093.0 7819.0 8048.0 22622.0 6961.0 8171.0 7490.0
23 21377.0 7292.0 6886.0 7199.0 21706.0 6882.0 7815.0 7009.0
24 19156.0 6561.0 6223.0 6372.0 21602.0 6807.0 7957.0 6838.0
25 16902.0 5813.0 5424.0 5665.0 21228.0 6762.0 7681.0 6785.0
26 15641.0 5532.0 4974.0 5135.0 21268.0 6498.0 7948.0 6822.0
27 14273.0 4916.0 4617.0 4740.0 21240.0 6686.0 8127.0 6427.0
28 12731.0 4314.0 4125.0 4292.0 20673.0 6545.0 7701.0 6427.0
29 11572.0 3860.0 3831.0 3881.0 20080.0 6317.0 7436.0 6327.0
30 10436.0 3461.0 3452.0 3523.0 18916.0 6130.0 6604.0 6182.0
31 9787.0 3286.0 3087.0 3414.0 18762.0 5956.0 6685.0 6121.0
32 8886.0 3106.0 2769.0 3011.0 17764.0 5592.0 6200.0 5972.0
33 7959.0 2866.0 2475.0 2618.0 17543.0 5507.0 6190.0 5846.0
34 7171.0 2613.0 2246.0 2312.0 16672.0 5427.0 5518.0 5727.0
35 6363.0 2321.0 2007.0 2035.0 16725.0 5441.0 5557.0 5727.0
36 5864.0 2172.0 1831.0 1861.0 16159.0 5498.0 5419.0 5242.0
37 5260.0 1926.0 1730.0 1604.0 16147.0 5338.0 5549.0 5260.0
38 4778.0 1728.0 1619.0 1431.0 15672.0 5295.0 5243.0 5134.0
39 4307.0 1585.0 1488.0 1234.0 15160.0 5021.0 5153.0 4986.0
40 3999.0 1357.0 1442.0 1200.0 15314.0 5233.0 5314.0 4767.0
41 3440.0 1235.0 1301.0 904.0 14915.0 5039.0 4942.0 4934.0
42 3185.0 1176.0 1141.0 868.0 14441.0 5056.0 4705.0 4680.0
43 2746.0 984.0 920.0 842.0 14027.0 4950.0 4646.0 4431.0
44 2281.0 840.0 747.0 694.0 13784.0 4795.0 4571.0 4418.0
45 2110.0 722.0 661.0 727.0 13213.0 4492.0 4374.0 4347.0
46 1963.0 601.0 690.0 672.0 13228.0 4269.0 4409.0 4550.0
47 1724.0 509.0 624.0 591.0 12871.0 4139.0 4325.0 4407.0
48 1586.0 473.0 509.0 604.0 12896.0 4294.0 4395.0 4207.0
49 1464.0 428.0 531.0 505.0 12459.0 4035.0 4103.0 4321.0
50 1259.0 356.0 491.0 412.0 12245.0 4114.0 3789.0 4342.0
51 1112.0 328.0 437.0 347.0 11503.0 3865.0 3453.0 4185.0
52 1026.0 299.0 406.0 321.0 11052.0 3690.0 3445.0 3917.0
53 906.0 266.0 351.0 289.0 10772.0 3459.0 3383.0 3930.0
54 842.0 237.0 338.0 267.0 10487.0 3367.0 3189.0 3931.0
55 783.0 247.0 305.0 231.0 10374.0 3491.0 3071.0 3812.0
56 697.0 211.0 283.0 203.0 10061.0 3490.0 3067.0 3504.0
57 552.0 200.0 203.0 149.0 9767.0 3539.0 2981.0 3247.0
58 500.0 147.0 218.0 135.0 9627.0 3356.0 3109.0 3162.0
