#/mnt/nas-sph/120_anisotropy_evolution/c0003031_seg_adthreshold_scaledsub.aim
#xdim 190
#ydim 190
#zdim 190
#el_size 0.036 mm
#ice_vol_frac 0.266968216941 
#mean_cl_ice 9.92183944169 mean_cl_ice_x 10.211890873 mean_cl_ice_y 10.0415396258 mean_cl_ice_z 9.5372608048 mean_cl_pore 25.0736737642 mean_cl_pore_x 25.5430326307 mean_cl_pore_y 25.0603847879 mean_cl_pore_z 24.6340800188
#mean_cl_squared_ice 193.919668466 mean_cl_squared_ice_x 209.299859464 mean_cl_squared_ice_y 193.466521529 mean_cl_squared_ice_z 179.985932145 	mean_cl_squared_pore 1545.21042238 mean_cl_squared_pore_x 1508.63032732 mean_cl_squared_pore_y 1474.24017844 mean_cl_squared_pore_z 1650.25177117
#i l_ice l_ice_x l_ice_y l_ice_z l_pore l_pore_x l_pore_y l_pore_z
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 35685.0 10967.0 10363.0 14355.0 56606.0 16088.0 16435.0 24083.0
2 52304.0 15842.0 16450.0 20012.0 55008.0 16074.0 16666.0 22268.0
3 54411.0 16764.0 17433.0 20214.0 36270.0 10814.0 11433.0 14023.0
4 49916.0 15572.0 16285.0 18059.0 26873.0 8249.0 8457.0 10167.0
5 42892.0 13821.0 14594.0 14477.0 22739.0 7056.0 7295.0 8388.0
6 36304.0 11955.0 12411.0 11938.0 19558.0 6251.0 6272.0 7035.0
7 31845.0 10836.0 10651.0 10358.0 16762.0 5352.0 5650.0 5760.0
8 28144.0 9710.0 9391.0 9043.0 15370.0 4726.0 5472.0 5172.0
9 23874.0 8149.0 7943.0 7782.0 13647.0 4553.0 4741.0 4353.0
10 21019.0 6975.0 7356.0 6688.0 12355.0 4105.0 4395.0 3855.0
11 18299.0 6090.0 6392.0 5817.0 11169.0 3711.0 4125.0 3333.0
12 15972.0 5367.0 5615.0 4990.0 10590.0 3646.0 3673.0 3271.0
13 14215.0 4823.0 4808.0 4584.0 10338.0 3646.0 3647.0 3045.0
14 12323.0 4207.0 4056.0 4060.0 9571.0 3481.0 3313.0 2777.0
15 10875.0 3581.0 3646.0 3648.0 9492.0 3459.0 3243.0 2790.0
16 9592.0 3191.0 3176.0 3225.0 8921.0 3462.0 2953.0 2506.0
17 8614.0 2805.0 2852.0 2957.0 8397.0 3177.0 2921.0 2299.0
18 7686.0 2621.0 2486.0 2579.0 8215.0 3306.0 2731.0 2178.0
19 7049.0 2444.0 2209.0 2396.0 7615.0 2896.0 2700.0 2019.0
20 6228.0 2092.0 2094.0 2042.0 7337.0 2696.0 2575.0 2066.0
21 5886.0 1983.0 1843.0 2060.0 6702.0 2478.0 2365.0 1859.0
22 5600.0 1802.0 1913.0 1885.0 6762.0 2506.0 2408.0 1848.0
23 4857.0 1441.0 1632.0 1784.0 6577.0 2429.0 2553.0 1595.0
24 4346.0 1279.0 1457.0 1610.0 6353.0 2337.0 2417.0 1599.0
25 3969.0 1165.0 1288.0 1516.0 6339.0 2308.0 2322.0 1709.0
26 3471.0 1045.0 1136.0 1290.0 6180.0 2310.0 2313.0 1557.0
27 3271.0 1038.0 1013.0 1220.0 6126.0 2291.0 2284.0 1551.0
28 3040.0 886.0 922.0 1232.0 5685.0 2152.0 2015.0 1518.0
29 2859.0 847.0 878.0 1134.0 5168.0 1944.0 1755.0 1469.0
30 2481.0 728.0 828.0 925.0 4885.0 1777.0 1717.0 1391.0
31 2294.0 690.0 802.0 802.0 4957.0 1719.0 1809.0 1429.0
32 2187.0 635.0 724.0 828.0 5032.0 1809.0 1787.0 1436.0
33 1853.0 497.0 653.0 703.0 5055.0 1759.0 1807.0 1489.0
34 1811.0 553.0 591.0 667.0 5037.0 1647.0 1921.0 1469.0
35 1590.0 513.0 542.0 535.0 4621.0 1475.0 1799.0 1347.0
36 1440.0 506.0 496.0 438.0 4498.0 1415.0 1737.0 1346.0
37 1249.0 397.0 461.0 391.0 4508.0 1323.0 1751.0 1434.0
38 1156.0 379.0 476.0 301.0 4172.0 1177.0 1615.0 1380.0
39 1026.0 318.0 466.0 242.0 3999.0 1171.0 1662.0 1166.0
40 923.0 274.0 413.0 236.0 3886.0 1158.0 1641.0 1087.0
41 873.0 283.0 388.0 202.0 3633.0 1111.0 1517.0 1005.0
42 877.0 303.0 377.0 197.0 3408.0 1198.0 1363.0 847.0
43 808.0 265.0 321.0 222.0 3477.0 1227.0 1428.0 822.0
44 716.0 229.0 258.0 229.0 3339.0 1108.0 1360.0 871.0
45 799.0 317.0 251.0 231.0 3183.0 1064.0 1334.0 785.0
46 764.0 317.0 237.0 210.0 3153.0 1074.0 1359.0 720.0
47 704.0 328.0 202.0 174.0 3023.0 1043.0 1232.0 748.0
48 646.0 326.0 186.0 134.0 2930.0 984.0 1169.0 777.0
49 730.0 399.0 194.0 137.0 2897.0 949.0 1096.0 852.0
50 597.0 278.0 160.0 159.0 2663.0 798.0 951.0 914.0
51 452.0 175.0 154.0 123.0 2570.0 829.0 853.0 888.0
52 407.0 160.0 98.0 149.0 2393.0 769.0 842.0 782.0
53 366.0 127.0 100.0 139.0 2430.0 848.0 768.0 814.0
54 311.0 90.0 69.0 152.0 2319.0 842.0 703.0 774.0
55 206.0 76.0 79.0 51.0 2273.0 741.0 715.0 817.0
56 171.0 60.0 73.0 38.0 2139.0 754.0 636.0 749.0
57 204.0 75.0 72.0 57.0 2132.0 740.0 680.0 712.0
58 135.0 39.0 66.0 30.0 2182.0 788.0 687.0 707.0
59 135.0 40.0 61.0 34.0 2196.0 746.0 734.0 716.0
60 110.0 34.0 48.0 28.0 2122.0 757.0 673.0 692.0
61 94.0 33.0 38.0 23.0 2181.0 846.0 608.0 727.0
62 86.0 38.0 27.0 21.0 1996.0 803.0 574.0 619.0
63 85.0 39.0 20.0 26.0 2010.0 749.0 599.0 662.0
64 73.0 20.0 28.0 25.0 2040.0 715.0 638.0 687.0
65 81.0 28.0 30.0 23.0 1915.0 716.0 546.0 653.0
66 55.0 20.0 21.0 14.0 1855.0 730.0 507.0 618.0
67 56.0 24.0 20.0 12.0 1669.0 656.0 440.0 573.0
68 41.0 16.0 11.0 14.0 1577.0 605.0 441.0 531.0
69 36.0 14.0 8.0 14.0 1462.0 548.0 439.0 475.0
70 27.0 12.0 5.0 10.0 1493.0 544.0 473.0 476.0
71 36.0 12.0 6.0 18.0 1417.0 475.0 468.0 474.0
72 30.0 15.0 2.0 13.0 1394.0 463.0 469.0 462.0
73 23.0 14.0 0.0 9.0 1456.0 488.0 516.0 452.0
74 23.0 15.0 0.0 8.0 1390.0 474.0 477.0 439.0
75 20.0 14.0 0.0 6.0 1414.0 510.0 461.0 443.0
76 23.0 21.0 0.0 2.0 1292.0 472.0 391.0 429.0
77 26.0 22.0 0.0 4.0 1351.0 480.0 457.0 414.0
78 25.0 23.0 1.0 1.0 1318.0 456.0 451.0 411.0
79 20.0 16.0 0.0 4.0 1270.0 430.0 402.0 438.0
80 24.0 22.0 0.0 2.0 1163.0 387.0 353.0 423.0
81 44.0 40.0 0.0 4.0 1135.0 395.0 365.0 375.0
82 58.0 55.0 0.0 3.0 1131.0 363.0 380.0 388.0
83 19.0 15.0 0.0 4.0 1107.0 327.0 314.0 466.0
84 11.0 8.0 0.0 3.0 1135.0 365.0 311.0 459.0
85 14.0 14.0 0.0 0.0 1047.0 305.0 304.0 438.0
86 7.0 5.0 0.0 2.0 956.0 289.0 290.0 377.0
87 5.0 3.0 0.0 2.0 988.0 301.0 320.0 367.0
88 9.0 8.0 0.0 1.0 909.0 290.0 311.0 308.0
89 15.0 12.0 0.0 3.0 1028.0 366.0 339.0 323.0
90 16.0 10.0 0.0 6.0 1196.0 428.0 422.0 346.0
91 4.0 2.0 0.0 2.0 1051.0 290.0 413.0 348.0
92 1.0 1.0 0.0 0.0 1033.0 319.0 334.0 380.0
93 1.0 1.0 0.0 0.0 967.0 267.0 304.0 396.0
94 0.0 0.0 0.0 0.0 1032.0 331.0 288.0 413.0
95 0.0 0.0 0.0 0.0 850.0 299.0 225.0 326.0
96 2.0 2.0 0.0 0.0 776.0 285.0 203.0 288.0
97 1.0 1.0 0.0 0.0 675.0 212.0 182.0 281.0
98 2.0 2.0 0.0 0.0 685.0 198.0 166.0 321.0
99 2.0 2.0 0.0 0.0 662.0 176.0 187.0 299.0
100 1.0 1.0 0.0 0.0 702.0 186.0 169.0 347.0
101 1.0 1.0 0.0 0.0 719.0 190.0 215.0 314.0
102 1.0 1.0 0.0 0.0 722.0 225.0 194.0 303.0
