#/mnt/nas-sph/120_anisotropy_evolution/670_seg3.aim
#xdim 300
#ydim 300
#zdim 196
#el_size 0.025 mm
#ice_vol_frac 0.313357482993 
#mean_cl_ice 11.0945043564 mean_cl_ice_x 11.5593554931 mean_cl_ice_y 10.8555319237 mean_cl_ice_z 10.8961894267 mean_cl_pore 23.0914357287 mean_cl_pore_x 24.2995419902 mean_cl_pore_y 22.5590340442 mean_cl_pore_z 22.5037093187
#mean_cl_squared_ice 202.942618986 mean_cl_squared_ice_x 213.769612815 mean_cl_squared_ice_y 192.773406861 mean_cl_squared_ice_z 202.944074402 	mean_cl_squared_pore 1077.7687064 mean_cl_squared_pore_x 1134.46296099 mean_cl_squared_pore_y 1035.37578666 mean_cl_squared_pore_z 1067.55333597
#i l_ice l_ice_x l_ice_y l_ice_z l_pore l_pore_x l_pore_y l_pore_z
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 58132.0 14631.0 19850.0 23651.0 54613.0 13989.0 18140.0 22484.0
2 87857.0 23270.0 30485.0 34102.0 79742.0 20537.0 27330.0 31875.0
3 102627.0 29146.0 36073.0 37408.0 85063.0 22924.0 29330.0 32809.0
4 106202.0 31997.0 37243.0 36962.0 75922.0 21788.0 25819.0 28315.0
5 104495.0 32816.0 36108.0 35571.0 65077.0 19218.0 21964.0 23895.0
6 97797.0 31055.0 33936.0 32806.0 56604.0 16965.0 19324.0 20315.0
7 90830.0 29326.0 31306.0 30198.0 51163.0 14958.0 18188.0 18017.0
8 84499.0 27509.0 29252.0 27738.0 47883.0 14811.0 17142.0 15930.0
9 77709.0 26175.0 26528.0 25006.0 44959.0 14077.0 16242.0 14640.0
10 71646.0 24070.0 24414.0 23162.0 42218.0 13611.0 14861.0 13746.0
11 65400.0 21960.0 22325.0 21115.0 39538.0 13069.0 13785.0 12684.0
12 57979.0 20166.0 19344.0 18469.0 38032.0 12428.0 13722.0 11882.0
13 51684.0 17658.0 17098.0 16928.0 35919.0 11678.0 12753.0 11488.0
14 46689.0 15773.0 15756.0 15160.0 33954.0 11037.0 11933.0 10984.0
15 42116.0 14272.0 14169.0 13675.0 33145.0 11127.0 11440.0 10578.0
16 37869.0 12830.0 12735.0 12304.0 32053.0 10818.0 11226.0 10009.0
17 33461.0 11236.0 11352.0 10873.0 30435.0 10221.0 10582.0 9632.0
18 30201.0 10036.0 10419.0 9746.0 29257.0 10215.0 9629.0 9413.0
19 26608.0 9044.0 9273.0 8291.0 28003.0 9430.0 9346.0 9227.0
20 23767.0 8105.0 8163.0 7499.0 26958.0 8983.0 9257.0 8718.0
21 21244.0 7235.0 7248.0 6761.0 25983.0 8543.0 9005.0 8435.0
22 19473.0 6590.0 6520.0 6363.0 25128.0 8321.0 8810.0 7997.0
23 17625.0 5957.0 5791.0 5877.0 23802.0 8124.0 8359.0 7319.0
24 15662.0 5356.0 5093.0 5213.0 22363.0 7617.0 7817.0 6929.0
25 13977.0 4732.0 4485.0 4760.0 22063.0 7436.0 7885.0 6742.0
26 12173.0 4208.0 3946.0 4019.0 21423.0 7060.0 7562.0 6801.0
27 10697.0 3751.0 3348.0 3598.0 21005.0 6881.0 7121.0 7003.0
28 9383.0 3171.0 3058.0 3154.0 20557.0 6790.0 6966.0 6801.0
29 8330.0 2813.0 2678.0 2839.0 19347.0 6579.0 6416.0 6352.0
30 7580.0 2576.0 2349.0 2655.0 18300.0 6239.0 6083.0 5978.0
31 6634.0 2250.0 2038.0 2346.0 17252.0 5666.0 5880.0 5706.0
