#/mnt/nas-sph/120_anisotropy_evolution/2206.aim
#xdim 300
#ydim 300
#zdim 300
#el_size 0.018 mm
#ice_vol_frac 0.25137862963 
#mean_cl_ice 13.8052233164 mean_cl_ice_x 14.4456025046 mean_cl_ice_y 13.4837274815 mean_cl_ice_z 13.52807177 mean_cl_pore 37.4320851924 mean_cl_pore_x 39.2555044348 mean_cl_pore_y 36.2790735659 mean_cl_pore_z 36.890957573
#mean_cl_squared_ice 352.681153957 mean_cl_squared_ice_x 373.120307249 mean_cl_squared_ice_y 338.380732432 mean_cl_squared_ice_z 347.887671064 	mean_cl_squared_pore 3122.62428918 mean_cl_squared_pore_x 3164.40995877 mean_cl_squared_pore_y 2873.91657318 mean_cl_squared_pore_z 3336.25799863
#i l_ice l_ice_x l_ice_y l_ice_z l_pore l_pore_x l_pore_y l_pore_z
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 62271.0 18918.0 20614.0 22739.0 56440.0 15771.0 19071.0 21598.0
2 97142.0 28674.0 32654.0 35814.0 85742.0 23798.0 29108.0 32836.0
3 105015.0 30129.0 35950.0 38936.0 88201.0 24572.0 30208.0 33421.0
4 96081.0 27298.0 33672.0 35111.0 73894.0 20921.0 25697.0 27276.0
5 84103.0 24398.0 29916.0 29789.0 57975.0 17047.0 19542.0 21386.0
6 75346.0 22292.0 26941.0 26113.0 46730.0 13580.0 15773.0 17377.0
7 69816.0 21135.0 25128.0 23553.0 39325.0 11415.0 13512.0 14398.0
8 65475.0 20213.0 23643.0 21619.0 35003.0 10065.0 12070.0 12868.0
9 61343.0 18971.0 22175.0 20197.0 31387.0 8998.0 10833.0 11556.0
10 56788.0 18029.0 20255.0 18504.0 29110.0 8535.0 9796.0 10779.0
11 52070.0 16815.0 18459.0 16796.0 27403.0 8179.0 9324.0 9900.0
12 48053.0 15599.0 16785.0 15669.0 25387.0 7578.0 8777.0 9032.0
13 44015.0 14761.0 15006.0 14248.0 24273.0 7350.0 8361.0 8562.0
14 41191.0 13981.0 13831.0 13379.0 23096.0 7066.0 8053.0 7977.0
15 38338.0 13295.0 12740.0 12303.0 22128.0 6849.0 7786.0 7493.0
16 35080.0 12075.0 11414.0 11591.0 21586.0 6771.0 7627.0 7188.0
17 33404.0 11535.0 10691.0 11178.0 20927.0 6754.0 7542.0 6631.0
18 31043.0 10583.0 10138.0 10322.0 20470.0 6776.0 7312.0 6382.0
19 27991.0 9567.0 9236.0 9188.0 20352.0 6640.0 7522.0 6190.0
20 25410.0 8839.0 8378.0 8193.0 20091.0 6462.0 7332.0 6297.0
21 23415.0 8232.0 7603.0 7580.0 18988.0 5945.0 7040.0 6003.0
22 22209.0 7630.0 7482.0 7097.0 18338.0 5731.0 7041.0 5566.0
23 20776.0 7347.0 6823.0 6606.0 18176.0 5798.0 6966.0 5412.0
24 19388.0 6794.0 6669.0 5925.0 17852.0 5779.0 6748.0 5325.0
25 17813.0 6430.0 6066.0 5317.0 17230.0 5527.0 6392.0 5311.0
26 16364.0 6128.0 5435.0 4801.0 16535.0 5499.0 5913.0 5123.0
27 14815.0 5352.0 4927.0 4536.0 16183.0 5280.0 5771.0 5132.0
28 13849.0 5101.0 4471.0 4277.0 15744.0 5133.0 5652.0 4959.0
29 13013.0 4965.0 4160.0 3888.0 15797.0 5112.0 5557.0 5128.0
30 12120.0 4412.0 3946.0 3762.0 16025.0 5205.0 5595.0 5225.0
31 11230.0 4107.0 3606.0 3517.0 15144.0 5105.0 5234.0 4805.0
32 10528.0 4042.0 3296.0 3190.0 14664.0 4897.0 5100.0 4667.0
33 9863.0 3717.0 3043.0 3103.0 14577.0 5013.0 5020.0 4544.0
34 9080.0 3216.0 2969.0 2895.0 14055.0 4767.0 4909.0 4379.0
35 8317.0 2810.0 2612.0 2895.0 13567.0 4479.0 4535.0 4553.0
36 7929.0 2603.0 2377.0 2949.0 13295.0 4461.0 4302.0 4532.0
37 7639.0 2465.0 2297.0 2877.0 13120.0 4509.0 4201.0 4410.0
38 6945.0 2243.0 2093.0 2609.0 12486.0 4321.0 3991.0 4174.0
39 6156.0 1990.0 1887.0 2279.0 12131.0 4343.0 3943.0 3845.0
40 5498.0 1809.0 1656.0 2033.0 11711.0 4161.0 3925.0 3625.0
41 5337.0 1733.0 1599.0 2005.0 11680.0 4051.0 3938.0 3691.0
42 4827.0 1546.0 1527.0 1754.0 11340.0 3994.0 3807.0 3539.0
43 4371.0 1311.0 1441.0 1619.0 10867.0 3670.0 3783.0 3414.0
44 4148.0 1286.0 1338.0 1524.0 10716.0 3623.0 3654.0 3439.0
