#/mnt/nas-sph/120_anisotropy_evolution/D0001175_SEG_ADTHRESHOLD_SCALED2.aim
#xdim 198
#ydim 198
#zdim 198
#el_size 0.054 mm
#ice_vol_frac 0.269437693948 
#mean_cl_ice 6.32177412286 mean_cl_ice_x 6.26465760482 mean_cl_ice_y 6.31707059236 mean_cl_ice_z 6.38473937266 mean_cl_pore 16.1540944193 mean_cl_pore_x 16.0684542193 mean_cl_pore_y 16.0764714554 mean_cl_pore_z 16.3198728003
#mean_cl_squared_ice 63.8126382224 mean_cl_squared_ice_x 62.2526044319 mean_cl_squared_ice_y 63.3331208998 mean_cl_squared_ice_z 65.8872288789 	mean_cl_squared_pore 558.062386947 mean_cl_squared_pore_x 539.508999156 mean_cl_squared_pore_y 533.227996916 mean_cl_squared_pore_z 602.116462581
#i l_ice l_ice_x l_ice_y l_ice_z l_pore l_pore_x l_pore_y l_pore_z
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 86075.0 28547.0 28253.0 29275.0 81842.0 25797.0 25668.0 30377.0
2 118047.0 39383.0 38849.0 39815.0 84461.0 26502.0 26093.0 31866.0
3 128785.0 43849.0 42901.0 42035.0 66773.0 20880.0 21576.0 24317.0
4 115422.0 39733.0 38674.0 37015.0 55394.0 18012.0 18542.0 18840.0
5 97688.0 33252.0 33320.0 31116.0 48204.0 16087.0 16252.0 15865.0
6 80877.0 27277.0 27551.0 26049.0 44168.0 15018.0 14825.0 14325.0
7 66494.0 22568.0 22575.0 21351.0 40194.0 13811.0 13830.0 12553.0
8 54866.0 18880.0 18130.0 17856.0 37365.0 13212.0 13030.0 11123.0
9 45032.0 15149.0 14901.0 14982.0 35460.0 12658.0 12447.0 10355.0
10 37142.0 12437.0 12080.0 12625.0 33627.0 12211.0 11525.0 9891.0
11 30824.0 10102.0 10174.0 10548.0 30953.0 10908.0 10734.0 9311.0
12 25270.0 8176.0 8381.0 8713.0 28603.0 9876.0 10013.0 8714.0
13 20341.0 6621.0 6727.0 6993.0 26965.0 9349.0 9488.0 8128.0
14 16507.0 5515.0 5356.0 5636.0 25084.0 8811.0 8760.0 7513.0
15 13751.0 4641.0 4552.0 4558.0 23640.0 8154.0 8219.0 7267.0
16 10937.0 3623.0 3711.0 3603.0 22200.0 7847.0 7536.0 6817.0
17 8927.0 2970.0 3037.0 2920.0 21143.0 7376.0 7226.0 6541.0
18 7154.0 2257.0 2471.0 2426.0 19883.0 7089.0 6786.0 6008.0
19 5967.0 1832.0 2179.0 1956.0 18629.0 6649.0 6369.0 5611.0
20 4473.0 1431.0 1562.0 1480.0 17181.0 6064.0 5970.0 5147.0
21 3678.0 1153.0 1171.0 1354.0 16275.0 5567.0 5789.0 4919.0
22 2957.0 909.0 921.0 1127.0 15445.0 5349.0 5286.0 4810.0
23 2420.0 757.0 846.0 817.0 14816.0 5099.0 5150.0 4567.0
24 1886.0 656.0 581.0 649.0 13836.0 4652.0 4868.0 4316.0
25 1379.0 464.0 438.0 477.0 13313.0 4571.0 4411.0 4331.0
26 1036.0 338.0 331.0 367.0 12561.0 4330.0 4181.0 4050.0
27 929.0 291.0 287.0 351.0 11680.0 3969.0 3976.0 3735.0
28 709.0 207.0 238.0 264.0 10963.0 3821.0 3698.0 3444.0
29 625.0 160.0 227.0 238.0 10292.0 3510.0 3555.0 3227.0
30 468.0 133.0 156.0 179.0 9695.0 3272.0 3474.0 2949.0
31 368.0 91.0 136.0 141.0 9361.0 3129.0 3254.0 2978.0
32 276.0 70.0 97.0 109.0 8911.0 3030.0 3149.0 2732.0
33 245.0 69.0 68.0 108.0 8298.0 2837.0 2845.0 2616.0
34 158.0 44.0 46.0 68.0 7923.0 2764.0 2732.0 2427.0
35 131.0 43.0 31.0 57.0 7332.0 2480.0 2548.0 2304.0
36 120.0 34.0 21.0 65.0 6940.0 2253.0 2401.0 2286.0
37 106.0 28.0 21.0 57.0 6384.0 2019.0 2170.0 2195.0
38 82.0 25.0 19.0 38.0 5977.0 1811.0 2007.0 2159.0
39 64.0 23.0 12.0 29.0 5612.0 1788.0 1942.0 1882.0
40 45.0 17.0 3.0 25.0 5100.0 1602.0 1700.0 1798.0
41 61.0 41.0 3.0 17.0 4931.0 1649.0 1591.0 1691.0
42 35.0 22.0 1.0 12.0 4705.0 1600.0 1517.0 1588.0
43 33.0 13.0 4.0 16.0 4264.0 1404.0 1415.0 1445.0
44 28.0 8.0 7.0 13.0 3991.0 1315.0 1313.0 1363.0
45 9.0 2.0 2.0 5.0 3885.0 1320.0 1179.0 1386.0
46 21.0 3.0 10.0 8.0 3668.0 1268.0 1145.0 1255.0
47 10.0 4.0 2.0 4.0 3445.0 1122.0 1145.0 1178.0
48 6.0 1.0 3.0 2.0 3088.0 918.0 1098.0 1072.0
49 7.0 1.0 2.0 4.0 2911.0 870.0 989.0 1052.0
50 6.0 1.0 2.0 3.0 2822.0 897.0 974.0 951.0
51 10.0 2.0 4.0 4.0 2895.0 937.0 902.0 1056.0
52 5.0 1.0 2.0 2.0 2700.0 844.0 851.0 1005.0
53 4.0 0.0 0.0 4.0 2606.0 828.0 842.0 936.0
54 4.0 0.0 1.0 3.0 2478.0 805.0 777.0 896.0
