#/mnt/nas-sph/120_anisotropy_evolution/2170.aim
#xdim 300
#ydim 300
#zdim 300
#el_size 0.018 mm
#ice_vol_frac 0.22188162963 
#mean_cl_ice 8.04436023692 mean_cl_ice_x 8.90211660653 mean_cl_ice_y 8.0962062404 mean_cl_ice_z 7.29476515592 mean_cl_pore 26.5523874682 mean_cl_pore_x 29.2181529415 mean_cl_pore_y 26.6798686909 mean_cl_pore_z 24.2263037848
#mean_cl_squared_ice 108.617553867 mean_cl_squared_ice_x 135.34222633 mean_cl_squared_ice_y 108.03407248 mean_cl_squared_ice_z 87.2439667968 	mean_cl_squared_pore 1495.53600086 mean_cl_squared_pore_x 1836.48162704 mean_cl_squared_pore_y 1531.84690681 mean_cl_squared_pore_z 1179.86845109
#i l_ice l_ice_x l_ice_y l_ice_z l_pore l_pore_x l_pore_y l_pore_z
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 138531.0 40232.0 44633.0 53666.0 74264.0 22645.0 25552.0 26067.0
2 223979.0 64315.0 72593.0 87071.0 113154.0 33809.0 39393.0 39952.0
3 246018.0 69797.0 79757.0 96464.0 122831.0 36983.0 42242.0 43606.0
4 221463.0 62078.0 72152.0 87233.0 111166.0 33387.0 37867.0 39912.0
5 186143.0 50713.0 61041.0 74389.0 94931.0 28405.0 31738.0 34788.0
6 158263.0 42744.0 52026.0 63493.0 81000.0 23915.0 26643.0 30442.0
7 139051.0 37579.0 46414.0 55058.0 72590.0 21173.0 24035.0 27382.0
8 122551.0 33486.0 41677.0 47388.0 66101.0 19303.0 21871.0 24927.0
9 108827.0 30777.0 36914.0 41136.0 61421.0 17755.0 20315.0 23351.0
10 95948.0 28164.0 32953.0 34831.0 58337.0 16637.0 19184.0 22516.0
11 84050.0 25403.0 28895.0 29752.0 55888.0 15594.0 18339.0 21955.0
12 73756.0 23292.0 24873.0 25591.0 53348.0 14920.0 17558.0 20870.0
13 63793.0 20916.0 21684.0 21193.0 49871.0 13937.0 16515.0 19419.0
14 54961.0 18507.0 18597.0 17857.0 47802.0 13660.0 15671.0 18471.0
15 46822.0 16373.0 15745.0 14704.0 46260.0 13182.0 15013.0 18065.0
16 40121.0 14279.0 13455.0 12387.0 44134.0 12474.0 13930.0 17730.0
17 34662.0 13070.0 11289.0 10303.0 41992.0 11614.0 13797.0 16581.0
18 29824.0 11448.0 9857.0 8519.0 40946.0 11191.0 13191.0 16564.0
19 25130.0 9785.0 8427.0 6918.0 39334.0 10745.0 12560.0 16029.0
20 21149.0 8447.0 7209.0 5493.0 37965.0 10324.0 12058.0 15583.0
21 17784.0 7200.0 6088.0 4496.0 36708.0 10275.0 11745.0 14688.0
22 15255.0 6043.0 5427.0 3785.0 35151.0 9811.0 11175.0 14165.0
23 12992.0 5272.0 4493.0 3227.0 33991.0 9340.0 11132.0 13519.0
24 11197.0 4687.0 3849.0 2661.0 32887.0 9182.0 10626.0 13079.0
25 9071.0 3731.0 3191.0 2149.0 31629.0 8805.0 10339.0 12485.0
26 7654.0 3262.0 2498.0 1894.0 30471.0 8583.0 9841.0 12047.0
27 6505.0 2869.0 2223.0 1413.0 29603.0 8368.0 9676.0 11559.0
28 5394.0 2470.0 1835.0 1089.0 28464.0 7972.0 9448.0 11044.0
29 4616.0 2130.0 1565.0 921.0 27859.0 7478.0 9540.0 10841.0
30 3880.0 1825.0 1330.0 725.0 27883.0 7634.0 9661.0 10588.0
31 3430.0 1615.0 1129.0 686.0 26714.0 7379.0 9029.0 10306.0
32 3042.0 1388.0 1021.0 633.0 25361.0 7034.0 8523.0 9804.0
33 2561.0 1173.0 771.0 617.0 24520.0 6817.0 8198.0 9505.0
34 2314.0 1041.0 675.0 598.0 23742.0 6579.0 8012.0 9151.0
35 1865.0 909.0 522.0 434.0 22890.0 6495.0 7437.0 8958.0
36 1601.0 772.0 456.0 373.0 22111.0 6246.0 7189.0 8676.0
37 1331.0 690.0 352.0 289.0 21105.0 6183.0 6630.0 8292.0
38 1147.0 592.0 322.0 233.0 20522.0 6243.0 6336.0 7943.0
39 961.0 473.0 263.0 225.0 19566.0 6040.0 6134.0 7392.0
40 765.0 379.0 223.0 163.0 18718.0 5624.0 6136.0 6958.0
41 697.0 349.0 182.0 166.0 18229.0 5682.0 5914.0 6633.0
42 576.0 290.0 158.0 128.0 17433.0 5540.0 5692.0 6201.0
43 511.0 267.0 139.0 105.0 16756.0 5429.0 5358.0 5969.0
44 422.0 225.0 127.0 70.0 16172.0 5285.0 5281.0 5606.0
45 424.0 211.0 145.0 68.0 15276.0 5021.0 4957.0 5298.0
46 378.0 197.0 105.0 76.0 15044.0 4959.0 4831.0 5254.0
47 328.0 158.0 112.0 58.0 14445.0 4873.0 4632.0 4940.0
48 287.0 148.0 87.0 52.0 14033.0 4868.0 4413.0 4752.0
49 264.0 125.0 80.0 59.0 13641.0 4651.0 4413.0 4577.0
50 209.0 108.0 64.0 37.0 13678.0 4536.0 4451.0 4691.0
51 182.0 99.0 53.0 30.0 13069.0 4288.0 4221.0 4560.0
52 181.0 104.0 52.0 25.0 12479.0 4090.0 4020.0 4369.0
53 122.0 78.0 26.0 18.0 12157.0 3942.0 4026.0 4189.0
54 115.0 69.0 20.0 26.0 11809.0 3898.0 3783.0 4128.0
55 91.0 49.0 21.0 21.0 11339.0 3713.0 3684.0 3942.0
56 98.0 59.0 22.0 17.0 10657.0 3492.0 3641.0 3524.0
57 107.0 74.0 10.0 23.0 10068.0 3272.0 3369.0 3427.0
58 92.0 55.0 17.0 20.0 9603.0 3163.0 3146.0 3294.0
59 75.0 43.0 16.0 16.0 9395.0 3187.0 3019.0 3189.0
60 69.0 47.0 12.0 10.0 8820.0 3057.0 2761.0 3002.0
61 41.0 24.0 9.0 8.0 8779.0 2959.0 2887.0 2933.0
62 36.0 15.0 12.0 9.0 8689.0 3020.0 2774.0 2895.0
63 60.0 33.0 10.0 17.0 8668.0 2951.0 2873.0 2844.0
64 60.0 32.0 9.0 19.0 8380.0 2838.0 2789.0 2753.0
65 59.0 27.0 6.0 26.0 7997.0 2653.0 2804.0 2540.0
66 58.0 30.0 5.0 23.0 7638.0 2622.0 2473.0 2543.0
67 46.0 19.0 4.0 23.0 7107.0 2493.0 2264.0 2350.0
68 22.0 13.0 1.0 8.0 6931.0 2523.0 2194.0 2214.0
69 10.0 7.0 2.0 1.0 6570.0 2379.0 2102.0 2089.0
70 10.0 8.0 1.0 1.0 6233.0 2344.0 1945.0 1944.0
71 13.0 9.0 3.0 1.0 5946.0 2184.0 1891.0 1871.0
72 22.0 19.0 3.0 0.0 5851.0 2054.0 1970.0 1827.0
73 14.0 11.0 1.0 2.0 5705.0 2049.0 1823.0 1833.0
74 10.0 9.0 1.0 0.0 5452.0 1907.0 1876.0 1669.0
75 10.0 9.0 0.0 1.0 5509.0 2053.0 1861.0 1595.0
76 9.0 7.0 1.0 1.0 4969.0 1863.0 1710.0 1396.0
77 8.0 5.0 1.0 2.0 5003.0 1875.0 1702.0 1426.0
78 4.0 0.0 0.0 4.0 4717.0 1800.0 1563.0 1354.0
79 7.0 4.0 1.0 2.0 4564.0 1739.0 1486.0 1339.0
80 4.0 0.0 0.0 4.0 4396.0 1710.0 1486.0 1200.0
81 5.0 0.0 1.0 4.0 4370.0 1677.0 1484.0 1209.0
82 6.0 0.0 1.0 5.0 4160.0 1633.0 1407.0 1120.0
83 2.0 0.0 1.0 1.0 3807.0 1600.0 1307.0 900.0
84 4.0 0.0 4.0 0.0 3662.0 1462.0 1268.0 932.0
85 0.0 0.0 0.0 0.0 3594.0 1451.0 1236.0 907.0
86 2.0 0.0 2.0 0.0 3603.0 1480.0 1114.0 1009.0
87 1.0 0.0 0.0 1.0 3456.0 1345.0 1129.0 982.0
88 0.0 0.0 0.0 0.0 3300.0 1266.0 1118.0 916.0
89 3.0 2.0 1.0 0.0 3249.0 1216.0 1129.0 904.0
90 0.0 0.0 0.0 0.0 3321.0 1298.0 1098.0 925.0
91 0.0 0.0 0.0 0.0 3228.0 1348.0 1075.0 805.0
92 0.0 0.0 0.0 0.0 3119.0 1311.0 1020.0 788.0
93 0.0 0.0 0.0 0.0 2955.0 1218.0 1002.0 735.0
94 0.0 0.0 0.0 0.0 2727.0 1026.0 1004.0 697.0
95 0.0 0.0 0.0 0.0 2619.0 1001.0 980.0 638.0
96 0.0 0.0 0.0 0.0 2525.0 984.0 954.0 587.0
97 0.0 0.0 0.0 0.0 2507.0 1011.0 880.0 616.0
98 0.0 0.0 0.0 0.0 2372.0 921.0 832.0 619.0
99 0.0 0.0 0.0 0.0 2261.0 904.0 750.0 607.0
100 0.0 0.0 0.0 0.0 2223.0 945.0 735.0 543.0
101 1.0 0.0 0.0 1.0 2237.0 1001.0 784.0 452.0
102 1.0 0.0 0.0 1.0 2095.0 878.0 759.0 458.0
103 0.0 0.0 0.0 0.0 2005.0 860.0 744.0 401.0
104 0.0 0.0 0.0 0.0 1938.0 841.0 728.0 369.0
105 0.0 0.0 0.0 0.0 1946.0 763.0 778.0 405.0
106 0.0 0.0 0.0 0.0 1875.0 739.0 674.0 462.0
107 0.0 0.0 0.0 0.0 1841.0 714.0 616.0 511.0
108 0.0 0.0 0.0 0.0 1686.0 678.0 559.0 449.0
109 0.0 0.0 0.0 0.0 1558.0 640.0 536.0 382.0
110 0.0 0.0 0.0 0.0 1538.0 611.0 564.0 363.0
111 0.0 0.0 0.0 0.0 1432.0 585.0 566.0 281.0
112 0.0 0.0 0.0 0.0 1412.0 587.0 538.0 287.0
113 0.0 0.0 0.0 0.0 1319.0 551.0 485.0 283.0
114 0.0 0.0 0.0 0.0 1262.0 486.0 492.0 284.0
115 0.0 0.0 0.0 0.0 1277.0 518.0 524.0 235.0
116 0.0 0.0 0.0 0.0 1244.0 452.0 507.0 285.0
117 0.0 0.0 0.0 0.0 1181.0 454.0 496.0 231.0
118 0.0 0.0 0.0 0.0 1201.0 480.0 494.0 227.0
119 0.0 0.0 0.0 0.0 1100.0 466.0 408.0 226.0
120 0.0 0.0 0.0 0.0 1027.0 417.0 393.0 217.0
121 0.0 0.0 0.0 0.0 1010.0 436.0 397.0 177.0
122 0.0 0.0 0.0 0.0 996.0 375.0 387.0 234.0
123 0.0 0.0 0.0 0.0 1010.0 410.0 368.0 232.0
124 0.0 0.0 0.0 0.0 1082.0 405.0 420.0 257.0
125 0.0 0.0 0.0 0.0 957.0 372.0 354.0 231.0
126 0.0 0.0 0.0 0.0 896.0 378.0 311.0 207.0
127 0.0 0.0 0.0 0.0 899.0 359.0 308.0 232.0
128 0.0 0.0 0.0 0.0 819.0 370.0 271.0 178.0
129 0.0 0.0 0.0 0.0 825.0 371.0 269.0 185.0
130 0.0 0.0 0.0 0.0 779.0 346.0 246.0 187.0
131 0.0 0.0 0.0 0.0 740.0 323.0 256.0 161.0
132 0.0 0.0 0.0 0.0 692.0 288.0 238.0 166.0
133 0.0 0.0 0.0 0.0 629.0 266.0 207.0 156.0
134 0.0 0.0 0.0 0.0 681.0 278.0 221.0 182.0
135 0.0 0.0 0.0 0.0 654.0 260.0 221.0 173.0
136 0.0 0.0 0.0 0.0 596.0 231.0 209.0 156.0
137 0.0 0.0 0.0 0.0 615.0 253.0 235.0 127.0
138 0.0 0.0 0.0 0.0 596.0 251.0 235.0 110.0
139 0.0 0.0 0.0 0.0 566.0 268.0 205.0 93.0
140 0.0 0.0 0.0 0.0 550.0 229.0 204.0 117.0
141 0.0 0.0 0.0 0.0 580.0 243.0 214.0 123.0
142 0.0 0.0 0.0 0.0 578.0 213.0 226.0 139.0
143 0.0 0.0 0.0 0.0 506.0 203.0 192.0 111.0
144 0.0 0.0 0.0 0.0 524.0 212.0 205.0 107.0
145 0.0 0.0 0.0 0.0 480.0 227.0 185.0 68.0
146 0.0 0.0 0.0 0.0 435.0 206.0 153.0 76.0
147 0.0 0.0 0.0 0.0 472.0 206.0 187.0 79.0
148 0.0 0.0 0.0 0.0 409.0 194.0 146.0 69.0
149 0.0 0.0 0.0 0.0 404.0 168.0 172.0 64.0
150 0.0 0.0 0.0 0.0 417.0 198.0 148.0 71.0
151 0.0 0.0 0.0 0.0 416.0 203.0 151.0 62.0
152 0.0 0.0 0.0 0.0 360.0 185.0 140.0 35.0
153 0.0 0.0 0.0 0.0 387.0 164.0 171.0 52.0
154 0.0 0.0 0.0 0.0 361.0 144.0 164.0 53.0
155 0.0 0.0 0.0 0.0 338.0 151.0 142.0 45.0
156 0.0 0.0 0.0 0.0 332.0 142.0 139.0 51.0
157 0.0 0.0 0.0 0.0 342.0 160.0 126.0 56.0
158 0.0 0.0 0.0 0.0 318.0 164.0 120.0 34.0
159 0.0 0.0 0.0 0.0 293.0 154.0 110.0 29.0
160 0.0 0.0 0.0 0.0 276.0 155.0 94.0 27.0
161 0.0 0.0 0.0 0.0 334.0 173.0 133.0 28.0
162 0.0 0.0 0.0 0.0 367.0 171.0 128.0 68.0
163 0.0 0.0 0.0 0.0 290.0 123.0 105.0 62.0
164 0.0 0.0 0.0 0.0 270.0 116.0 103.0 51.0
165 0.0 0.0 0.0 0.0 268.0 109.0 101.0 58.0
166 0.0 0.0 0.0 0.0 256.0 104.0 76.0 76.0
167 0.0 0.0 0.0 0.0 254.0 134.0 78.0 42.0
168 0.0 0.0 0.0 0.0 248.0 106.0 103.0 39.0
169 0.0 0.0 0.0 0.0 247.0 103.0 79.0 65.0
170 0.0 0.0 0.0 0.0 264.0 94.0 103.0 67.0
171 0.0 0.0 0.0 0.0 230.0 101.0 92.0 37.0
172 0.0 0.0 0.0 0.0 214.0 86.0 94.0 34.0
173 0.0 0.0 0.0 0.0 216.0 84.0 99.0 33.0
174 0.0 0.0 0.0 0.0 187.0 100.0 66.0 21.0
175 0.0 0.0 0.0 0.0 172.0 88.0 61.0 23.0
176 0.0 0.0 0.0 0.0 197.0 101.0 69.0 27.0
177 0.0 0.0 0.0 0.0 189.0 76.0 71.0 42.0
178 0.0 0.0 0.0 0.0 155.0 68.0 61.0 26.0
179 0.0 0.0 0.0 0.0 197.0 92.0 69.0 36.0
180 0.0 0.0 0.0 0.0 144.0 67.0 43.0 34.0
181 0.0 0.0 0.0 0.0 148.0 53.0 50.0 45.0
182 0.0 0.0 0.0 0.0 113.0 56.0 34.0 23.0
183 0.0 0.0 0.0 0.0 131.0 58.0 33.0 40.0
184 0.0 0.0 0.0 0.0 159.0 61.0 54.0 44.0
185 0.0 0.0 0.0 0.0 135.0 57.0 47.0 31.0
186 0.0 0.0 0.0 0.0 128.0 44.0 51.0 33.0
187 0.0 0.0 0.0 0.0 153.0 58.0 51.0 44.0
188 0.0 0.0 0.0 0.0 135.0 58.0 45.0 32.0
189 0.0 0.0 0.0 0.0 141.0 59.0 51.0 31.0
190 0.0 0.0 0.0 0.0 122.0 52.0 59.0 11.0
191 0.0 0.0 0.0 0.0 168.0 65.0 53.0 50.0
192 0.0 0.0 0.0 0.0 126.0 54.0 50.0 22.0
193 0.0 0.0 0.0 0.0 131.0 66.0 49.0 16.0
194 0.0 0.0 0.0 0.0 113.0 54.0 48.0 11.0
195 0.0 0.0 0.0 0.0 84.0 45.0 33.0 6.0
196 0.0 0.0 0.0 0.0 88.0 57.0 22.0 9.0
197 0.0 0.0 0.0 0.0 90.0 44.0 36.0 10.0
198 0.0 0.0 0.0 0.0 81.0 37.0 31.0 13.0
199 0.0 0.0 0.0 0.0 73.0 24.0 37.0 12.0
200 0.0 0.0 0.0 0.0 75.0 25.0 34.0 16.0
201 0.0 0.0 0.0 0.0 61.0 36.0 18.0 7.0
202 0.0 0.0 0.0 0.0 74.0 40.0 20.0 14.0
203 0.0 0.0 0.0 0.0 81.0 50.0 16.0 15.0
204 0.0 0.0 0.0 0.0 71.0 46.0 21.0 4.0
205 0.0 0.0 0.0 0.0 65.0 29.0 27.0 9.0
206 0.0 0.0 0.0 0.0 70.0 30.0 33.0 7.0
207 0.0 0.0 0.0 0.0 51.0 25.0 22.0 4.0
208 0.0 0.0 0.0 0.0 47.0 26.0 17.0 4.0
209 0.0 0.0 0.0 0.0 49.0 34.0 13.0 2.0
210 0.0 0.0 0.0 0.0 53.0 36.0 10.0 7.0
211 0.0 0.0 0.0 0.0 50.0 33.0 11.0 6.0
212 0.0 0.0 0.0 0.0 56.0 46.0 6.0 4.0
213 0.0 0.0 0.0 0.0 46.0 38.0 7.0 1.0
214 0.0 0.0 0.0 0.0 43.0 33.0 5.0 5.0
215 0.0 0.0 0.0 0.0 40.0 26.0 11.0 3.0
216 0.0 0.0 0.0 0.0 43.0 20.0 18.0 5.0
217 0.0 0.0 0.0 0.0 39.0 17.0 16.0 6.0
