#/mnt/nas-sph/120_anisotropy_evolution/C0002735_SEG_SCALED.aim
#xdim 254
#ydim 254
#zdim 254
#el_size 0.02 mm
#ice_vol_frac 0.261166063671 
#mean_cl_ice 15.4794577527 mean_cl_ice_x 16.7360589707 mean_cl_ice_y 16.2290441358 mean_cl_ice_z 13.8052727672 mean_cl_pore 38.5632123379 mean_cl_pore_x 41.3563479485 mean_cl_pore_y 40.269539708 mean_cl_pore_z 34.7444212955
#mean_cl_squared_ice 334.146032791 mean_cl_squared_ice_x 397.339695761 mean_cl_squared_ice_y 373.203944499 mean_cl_squared_ice_z 248.794021445 	mean_cl_squared_pore 2694.27538617 mean_cl_squared_pore_x 3017.39355982 mean_cl_squared_pore_y 2952.17465417 mean_cl_squared_pore_z 2200.30175224
#i l_ice l_ice_x l_ice_y l_ice_z l_pore l_pore_x l_pore_y l_pore_z
0 0.0 0.0 0 0.0 0.0 0.0 0.0 0.0
1 13688.0 3762.0 4580 5346.0 10248.0 2907.0 3616.0 3725.0
2 14634.0 4231.0 4560 5843.0 12564.0 3455.0 3856.0 5253.0
3 15587.0 4556.0 4819 6212.0 13811.0 3694.0 3982.0 6135.0
4 18116.0 5392.0 5735 6989.0 15617.0 4077.0 4654.0 6886.0
5 21473.0 6339.0 6617 8517.0 16905.0 4413.0 4977.0 7515.0
6 25507.0 7606.0 7803 10098.0 18340.0 4724.0 5339.0 8277.0
7 29400.0 8622.0 8795 11983.0 19196.0 5020.0 5780.0 8396.0
8 33264.0 9931.0 10122 13211.0 19833.0 5420.0 5982.0 8431.0
9 37654.0 11086.0 11402 15166.0 20067.0 5825.0 6072.0 8170.0
10 42271.0 12173.0 12580 17518.0 19815.0 5740.0 6177.0 7898.0
11 46049.0 12761.0 13507 19781.0 20507.0 5801.0 6542.0 8164.0
12 48965.0 13331.0 14069 21565.0 20675.0 5915.0 6507.0 8253.0
13 50797.0 13376.0 14688 22733.0 20361.0 5739.0 6455.0 8167.0
14 51149.0 13470.0 14715 22964.0 19528.0 5779.0 6065.0 7684.0
15 47736.0 12667.0 13934 21135.0 19035.0 5706.0 6079.0 7250.0
16 42966.0 11928.0 12958 18080.0 18875.0 5678.0 6066.0 7131.0
17 37183.0 10578.0 11751 14854.0 17960.0 5535.0 5833.0 6592.0
18 31774.0 9773.0 10597 11404.0 17926.0 5630.0 5509.0 6787.0
19 26518.0 8474.0 9317 8727.0 17435.0 5445.0 5432.0 6558.0
20 22945.0 7697.0 7995 7253.0 17179.0 5219.0 5291.0 6669.0
21 19259.0 6762.0 6948 5549.0 17045.0 5201.0 5036.0 6808.0
22 16698.0 6157.0 6133 4408.0 16305.0 4901.0 4762.0 6642.0
23 14622.0 5505.0 5346 3771.0 15981.0 4740.0 4831.0 6410.0
24 12832.0 4947.0 4696 3189.0 15193.0 4363.0 4897.0 5933.0
25 11304.0 4318.0 4075 2911.0 15151.0 4450.0 4964.0 5737.0
26 10047.0 3835.0 3457 2755.0 14729.0 4378.0 4826.0 5525.0
27 8981.0 3452.0 3115 2414.0 14153.0 4335.0 4680.0 5138.0
28 7677.0 3059.0 2772 1846.0 13683.0 4427.0 4617.0 4639.0
29 7121.0 2861.0 2685 1575.0 13325.0 4294.0 4463.0 4568.0
30 6196.0 2507.0 2351 1338.0 12626.0 4022.0 4272.0 4332.0
31 5606.0 2221.0 2271 1114.0 12285.0 3896.0 3993.0 4396.0
32 5212.0 2132.0 1941 1139.0 11803.0 3816.0 3677.0 4310.0
33 4487.0 1935.0 1583 969.0 11314.0 3586.0 3556.0 4172.0
34 3953.0 1690.0 1347 916.0 11218.0 3538.0 3527.0 4153.0
35 3303.0 1373.0 1165 765.0 11105.0 3373.0 3338.0 4394.0
36 2994.0 1247.0 1042 705.0 10453.0 3098.0 3107.0 4248.0
37 2764.0 1176.0 898 690.0 10076.0 3045.0 2950.0 4081.0
38 2599.0 1057.0 909 633.0 9668.0 2966.0 2824.0 3878.0
39 2387.0 1095.0 821 471.0 9292.0 2961.0 2555.0 3776.0
40 2126.0 1065.0 657 404.0 9001.0 2813.0 2496.0 3692.0
41 1997.0 958.0 674 365.0 8988.0 2838.0 2493.0 3657.0
