#/mnt/nas-sph/120_anisotropy_evolution/c0002999_seg_adthreshold_scaledsub.aim
#xdim 190
#ydim 190
#zdim 190
#el_size 0.036 mm
#ice_vol_frac 0.192229916898 
#mean_cl_ice 4.68803444634 mean_cl_ice_x 5.0671583284 mean_cl_ice_y 5.04339560574 mean_cl_ice_z 4.0933503876 mean_cl_pore 18.2425348931 mean_cl_pore_x 19.5378856536 mean_cl_pore_y 19.5544351779 mean_cl_pore_z 16.0955624955
#mean_cl_squared_ice 31.2126206078 mean_cl_squared_ice_x 36.5097999277 mean_cl_squared_ice_y 36.3193908932 mean_cl_squared_ice_z 22.7886678112 	mean_cl_squared_pore 635.708579042 mean_cl_squared_pore_x 718.049471572 mean_cl_squared_pore_y 720.892001398 mean_cl_squared_pore_z 497.759276636
#i l_ice l_ice_x l_ice_y l_ice_z l_pore l_pore_x l_pore_y l_pore_z
0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
1 72034.0 20057.0 19943.0 32034.0 30623.0 8448.0 8964.0 13211.0
2 119923.0 32390.0 32963.0 54570.0 46742.0 13028.0 13170.0 20544.0
3 149387.0 40893.0 41910.0 66584.0 49645.0 14439.0 14314.0 20892.0
4 142090.0 41466.0 42152.0 58472.0 47149.0 13843.0 13629.0 19677.0
5 111443.0 35004.0 35327.0 41112.0 42528.0 12475.0 12461.0 17592.0
6 77847.0 26392.0 26046.0 25409.0 39316.0 11529.0 11277.0 16510.0
7 53244.0 18800.0 18417.0 16027.0 37050.0 10590.0 11012.0 15448.0
8 35692.0 12853.0 12826.0 10013.0 34898.0 10306.0 10242.0 14350.0
9 24527.0 9133.0 8879.0 6515.0 32583.0 9471.0 9631.0 13481.0
10 16945.0 6486.0 6308.0 4151.0 30326.0 8794.0 9274.0 12258.0
11 11509.0 4484.0 4525.0 2500.0 28483.0 8324.0 8798.0 11361.0
12 8194.0 3392.0 3226.0 1576.0 26975.0 8036.0 8212.0 10727.0
13 5819.0 2452.0 2261.0 1106.0 25316.0 7709.0 7601.0 10006.0
14 4035.0 1678.0 1647.0 710.0 23759.0 7426.0 7218.0 9115.0
15 3074.0 1312.0 1291.0 471.0 22911.0 7362.0 7012.0 8537.0
16 2080.0 860.0 935.0 285.0 21997.0 7164.0 6631.0 8202.0
17 1545.0 635.0 740.0 170.0 20866.0 6719.0 6330.0 7817.0
18 1102.0 473.0 496.0 133.0 19943.0 6374.0 6202.0 7367.0
19 881.0 388.0 388.0 105.0 18341.0 5959.0 5716.0 6666.0
20 646.0 287.0 299.0 60.0 17185.0 5406.0 5511.0 6268.0
21 424.0 173.0 209.0 42.0 16129.0 5058.0 5154.0 5917.0
22 280.0 120.0 137.0 23.0 15598.0 4929.0 4867.0 5802.0
23 211.0 83.0 110.0 18.0 14725.0 4752.0 4512.0 5461.0
24 173.0 77.0 85.0 11.0 13902.0 4616.0 4359.0 4927.0
25 167.0 83.0 79.0 5.0 13269.0 4452.0 4232.0 4585.0
26 105.0 46.0 59.0 0.0 12770.0 4359.0 4101.0 4310.0
27 82.0 42.0 38.0 2.0 11670.0 3882.0 3952.0 3836.0
28 67.0 30.0 37.0 0.0 10860.0 3692.0 3736.0 3432.0
29 49.0 25.0 23.0 1.0 10219.0 3408.0 3528.0 3283.0
30 44.0 26.0 17.0 1.0 9771.0 3403.0 3325.0 3043.0
31 29.0 17.0 12.0 0.0 9001.0 3014.0 3206.0 2781.0
32 23.0 11.0 12.0 0.0 8658.0 2976.0 2903.0 2779.0
33 18.0 7.0 9.0 2.0 8200.0 2758.0 2744.0 2698.0
34 12.0 5.0 7.0 0.0 7623.0 2540.0 2582.0 2501.0
35 8.0 5.0 2.0 1.0 7269.0 2394.0 2534.0 2341.0
36 14.0 9.0 5.0 0.0 6718.0 2213.0 2326.0 2179.0
37 5.0 5.0 0.0 0.0 6461.0 2118.0 2109.0 2234.0
38 6.0 3.0 3.0 0.0 6165.0 2034.0 2163.0 1968.0
39 4.0 3.0 1.0 0.0 6019.0 2010.0 2149.0 1860.0
40 4.0 1.0 3.0 0.0 5453.0 1930.0 1885.0 1638.0
41 3.0 0.0 3.0 0.0 5081.0 1858.0 1725.0 1498.0
42 0.0 0.0 0.0 0.0 4787.0 1657.0 1667.0 1463.0
43 0.0 0.0 0.0 0.0 4553.0 1584.0 1560.0 1409.0
44 2.0 0.0 2.0 0.0 4437.0 1510.0 1517.0 1410.0
45 0.0 0.0 0.0 0.0 4272.0 1460.0 1409.0 1403.0
46 0.0 0.0 0.0 0.0 3888.0 1370.0 1284.0 1234.0
47 0.0 0.0 0.0 0.0 3644.0 1264.0 1208.0 1172.0
48 0.0 0.0 0.0 0.0 3459.0 1202.0 1154.0 1103.0
49 0.0 0.0 0.0 0.0 3314.0 1131.0 1223.0 960.0
50 0.0 0.0 0.0 0.0 3197.0 1153.0 1066.0 978.0
51 0.0 0.0 0.0 0.0 2921.0 1001.0 1006.0 914.0
52 0.0 0.0 0.0 0.0 2726.0 932.0 982.0 812.0
53 0.0 0.0 0.0 0.0 2692.0 990.0 964.0 738.0
54 0.0 0.0 0.0 0.0 2572.0 1006.0 905.0 661.0
55 0.0 0.0 0.0 0.0 2464.0 873.0 852.0 739.0
56 0.0 0.0 0.0 0.0 2160.0 744.0 794.0 622.0
57 0.0 0.0 0.0 0.0 2101.0 710.0 802.0 589.0
58 0.0 0.0 0.0 0.0 1972.0 710.0 709.0 553.0
59 0.0 0.0 0.0 0.0 1890.0 690.0 721.0 479.0
60 0.0 0.0 0.0 0.0 1819.0 634.0 650.0 535.0
61 0.0 0.0 0.0 0.0 1808.0 648.0 665.0 495.0
62 0.0 0.0 0.0 0.0 1649.0 602.0 586.0 461.0
63 0.0 0.0 0.0 0.0 1552.0 573.0 587.0 392.0
64 0.0 0.0 0.0 0.0 1411.0 453.0 577.0 381.0
65 0.0 0.0 0.0 0.0 1406.0 511.0 537.0 358.0
66 0.0 0.0 0.0 0.0 1339.0 478.0 517.0 344.0
67 0.0 0.0 0.0 0.0 1245.0 455.0 450.0 340.0
68 0.0 0.0 0.0 0.0 1158.0 403.0 424.0 331.0
69 0.0 0.0 0.0 0.0 1066.0 412.0 378.0 276.0
70 0.0 0.0 0.0 0.0 1005.0 397.0 363.0 245.0
71 0.0 0.0 0.0 0.0 907.0 347.0 325.0 235.0
72 0.0 0.0 0.0 0.0 847.0 301.0 314.0 232.0
73 0.0 0.0 0.0 0.0 819.0 270.0 314.0 235.0
74 0.0 0.0 0.0 0.0 763.0 277.0 306.0 180.0
75 0.0 0.0 0.0 0.0 717.0 266.0 268.0 183.0
76 0.0 0.0 0.0 0.0 715.0 265.0 288.0 162.0
77 0.0 0.0 0.0 0.0 698.0 233.0 299.0 166.0
78 0.0 0.0 0.0 0.0 650.0 245.0 247.0 158.0
79 0.0 0.0 0.0 0.0 591.0 214.0 224.0 153.0
80 0.0 0.0 0.0 0.0 496.0 180.0 188.0 128.0
81 0.0 0.0 0.0 0.0 503.0 191.0 215.0 97.0
82 0.0 0.0 0.0 0.0 484.0 191.0 202.0 91.0
83 0.0 0.0 0.0 0.0 477.0 161.0 204.0 112.0
84 0.0 0.0 0.0 0.0 425.0 158.0 175.0 92.0
85 0.0 0.0 0.0 0.0 404.0 147.0 182.0 75.0
86 0.0 0.0 0.0 0.0 401.0 135.0 179.0 87.0
87 0.0 0.0 0.0 0.0 401.0 155.0 148.0 98.0
88 0.0 0.0 0.0 0.0 356.0 119.0 148.0 89.0
89 0.0 0.0 0.0 0.0 355.0 105.0 157.0 93.0
90 0.0 0.0 0.0 0.0 346.0 123.0 151.0 72.0
91 0.0 0.0 0.0 0.0 337.0 134.0 121.0 82.0
92 0.0 0.0 0.0 0.0 281.0 114.0 111.0 56.0
93 0.0 0.0 0.0 0.0 273.0 112.0 104.0 57.0
94 0.0 0.0 0.0 0.0 219.0 83.0 85.0 51.0
95 0.0 0.0 0.0 0.0 210.0 65.0 87.0 58.0
96 0.0 0.0 0.0 0.0 174.0 79.0 64.0 31.0
97 0.0 0.0 0.0 0.0 224.0 104.0 81.0 39.0
98 0.0 0.0 0.0 0.0 219.0 104.0 86.0 29.0
99 0.0 0.0 0.0 0.0 172.0 66.0 70.0 36.0
100 0.0 0.0 0.0 0.0 165.0 72.0 52.0 41.0
101 0.0 0.0 0.0 0.0 140.0 58.0 46.0 36.0
102 0.0 0.0 0.0 0.0 153.0 86.0 38.0 29.0
103 0.0 0.0 0.0 0.0 148.0 66.0 53.0 29.0
104 0.0 0.0 0.0 0.0 126.0 54.0 41.0 31.0
105 0.0 0.0 0.0 0.0 119.0 43.0 55.0 21.0
106 0.0 0.0 0.0 0.0 120.0 43.0 54.0 23.0
107 0.0 0.0 0.0 0.0 88.0 41.0 35.0 12.0
108 0.0 0.0 0.0 0.0 84.0 35.0 40.0 9.0
109 0.0 0.0 0.0 0.0 92.0 36.0 45.0 11.0
110 0.0 0.0 0.0 0.0 75.0 34.0 36.0 5.0
111 0.0 0.0 0.0 0.0 121.0 55.0 40.0 26.0
112 0.0 0.0 0.0 0.0 93.0 38.0 36.0 19.0
113 0.0 0.0 0.0 0.0 83.0 36.0 38.0 9.0
114 0.0 0.0 0.0 0.0 80.0 33.0 31.0 16.0
115 0.0 0.0 0.0 0.0 81.0 28.0 36.0 17.0
116 0.0 0.0 0.0 0.0 76.0 23.0 33.0 20.0
117 0.0 0.0 0.0 0.0 58.0 28.0 18.0 12.0
118 0.0 0.0 0.0 0.0 64.0 21.0 30.0 13.0
119 0.0 0.0 0.0 0.0 37.0 14.0 15.0 8.0
120 0.0 0.0 0.0 0.0 54.0 22.0 18.0 14.0
121 0.0 0.0 0.0 0.0 60.0 23.0 30.0 7.0
122 0.0 0.0 0.0 0.0 51.0 29.0 9.0 13.0
123 0.0 0.0 0.0 0.0 67.0 31.0 23.0 13.0
124 0.0 0.0 0.0 0.0 45.0 23.0 15.0 7.0
125 0.0 0.0 0.0 0.0 38.0 20.0 9.0 9.0
126 0.0 0.0 0.0 0.0 31.0 17.0 9.0 5.0
127 0.0 0.0 0.0 0.0 35.0 18.0 11.0 6.0
128 0.0 0.0 0.0 0.0 28.0 11.0 13.0 4.0
129 0.0 0.0 0.0 0.0 45.0 20.0 19.0 6.0
130 0.0 0.0 0.0 0.0 39.0 13.0 18.0 8.0
131 0.0 0.0 0.0 0.0 36.0 14.0 18.0 4.0
132 0.0 0.0 0.0 0.0 32.0 16.0 11.0 5.0
133 0.0 0.0 0.0 0.0 20.0 3.0 11.0 6.0
134 0.0 0.0 0.0 0.0 19.0 7.0 12.0 0.0
135 0.0 0.0 0.0 0.0 22.0 9.0 10.0 3.0
136 0.0 0.0 0.0 0.0 21.0 8.0 9.0 4.0
