z density ssa
-0.0825418719212 473.26027599800005 17.602557142857144
-0.14997044335 451.54865238699995 18.857629729729727
-0.217253694581 433.17195319300004 19.2155275
-0.351093596059 402.198930262 13.796765853658538
-0.418086206897 424.61280646 12.350114252336448
-0.64318911686 360.197764789 12.777983870967741
-0.858191347012 295.606526998 10.080771538461535
-0.962796610169 345.341814416 9.558281428571428
-1.01598572703 332.45699223599996 10.142205925925927
-1.06799286351 303.588817902 10.191541851851852
-1.12 324.642417286 9.6346045
-1.2317486911 269.31947924900004 9.9085884
-1.28154973822 284.02187363 10.427053589743586
-1.40665968586 294.565356974 9.473280370370368
-1.46010471204 341.920911273 9.583815384615386
-1.63683769634 415.594095956 9.761607260273971
-1.89853923205 365.31250333599996 8.655331999999998
-2.00343906511 306.155376646 8.2798525
-2.05618530885 338.797629867 7.582455769230768
-2.15930717863 351.28591741 8.172570833333332
-2.30510016694 317.847226466 7.807412399999999
-2.41 348.002524488 9.239502528089888
-2.77408634976 318.925023469 9.176827500000002
-2.88730047972 323.173720223 8.988122857142857
-2.9439075447000005 344.50225843 9.205068965517242
-3.0 377.036533828 8.867860722891566
-3.16035705727 495.11313704599996 8.639101846153844
-3.29440210879 405.736374991 7.960713529411765
-3.4258159597400004 325.089096152 8.8531734375
-3.5559142104 354.332636961 9.229277215189873
-3.75358864763 321.504840537 9.099265238095239
-3.79674987177 387.76404352099996 8.211280499999999
-3.87996922551 371.778919035 9.246279545454543
-3.9197452556 372.804578415 8.556181333333331
-3.95171653274 333.900469651 9.03642
-4.03446572064 360.778549415 8.833400869565216
-4.07734484527 364.00382487800005 7.76129
-4.16 368.82302798300003 8.462546333333334
-4.22064368567 366.48322144900004 8.521337368421053
-4.25891194249 362.372476478 9.0402356
-4.30638131024 400.53264395 7.972916
-4.35447802647 356.042888058 8.257912499999998
-4.40184283614 383.77432281800003 8.571272399999998
-4.49594510701 334.013559891 8.31282
-4.54184610358 313.59686964599996 8.402098260869565
-4.58576049665 315.339912526 8.283282727272727
-4.76863257638 358.46893777699995 7.725308051948051
-4.91460321943 372.244867701 7.366545769230769
-5.07141061847 362.391007768 7.531125555555556
-5.2647034736 380.294911113 8.831232962962963
-5.3166294832 374.87718445699994 8.905922307692308
-5.36741174809 379.300027849 7.75399
-5.69840113529 351.57273279199995 7.579124482758621
-5.75350047304 347.88393429300004 7.01964
-5.809084200569999 345.156434532 6.9535307407407405
-6.08276442763 445.793883575 8.04640466666667
-6.13822705771 416.784458411 7.56631
-6.25 451.992335165 9.110930163934425
-6.54481225296 392.29291957199996 7.246111470588237
-6.72157114625 416.853773436 8.580803548387097
-6.78079051383 335.572688713 9.539724285714286
-6.9 429.32022167800005 10.285234150943396
-7.0104430777 362.33371067400003 7.487934
-7.131781097030001 380.74306488199994 8.221444905660377
