z density ssa
-0.13 389.884 23.729885714285714
-0.15 389.884 18.831375
-0.25 421.1850000000002 23.860566666666664
-0.34 454.71699999999987 29.747137499999997
-0.4 394.98999999999995 29.89280833333334
-0.5 411.4189999999999 26.52855555555555
-0.57 418.8630000000002 23.72073333333333
-0.63 364.7730000000001 22.810125
-0.75 398.01400000000007 26.172838095238088
-0.89 420.361 16.546442857142857
-1.0 447.745 15.493580952380952
-1.11 454.2730000000001 16.245794736842107
-1.21 435.0060000000001 14.979357894736845
-1.32 401.9989999999999 12.966804999999999
-1.4 431.2709999999998 14.158653333333335
-1.45 318.145 10.531414999999999
-1.58 384.70399999999995 11.609605882352941
-1.67 397.656 12.056870588235297
-1.78 391.5860000000001 12.49598947368421
-1.88 442.705 12.55522222222222
-1.98 457.34299999999996 13.858722222222221
-2.08 475.2119999999997 14.704342105263155
-2.1 475.2119999999997 15.698875
-2.17 518.0339999999999 21.130850000000002
-2.28 395.4679999999999 14.538295
-2.38 443.40400000000017 12.12096
-2.43 415.84999999999997 12.777922222222223
-2.54 373.91200000000003 11.54174705882353
-2.65 446.02900000000017 11.79870476190476
-2.72 409.5500000000001 12.545646153846151
-2.83 400.69400000000013 11.193633333333333
-2.92 414.00299999999993 10.371027500000002
-3.04 432.7630000000001 10.76467272727273
-3.14 413.56400000000014 11.04968
-3.24 443.51000000000016 11.01977777777778
-3.35 469.15300000000013 11.366940000000001
-3.46 433.103 11.5687
-3.55 329.47000000000014 7.821564615384616
-3.65 427.9210000000001 9.933025263157896
-3.75 469.45799999999986 10.668616666666667
-3.86 464.30599999999987 10.86560476190476
-3.96 423.6000000000002 10.897942105263159
-4.06 434.6589999999998 10.672257894736841
-4.17 453.02800000000013 10.64996
-4.23 416.9160000000001 10.468399999999999
-4.33 460.366 10.221704375
-4.43 445.478 9.813297222222225
-4.54 470.27599999999995 9.565232857142856
-4.64 454.04 10.035920555555556
-4.75 505.31199999999995 9.682618636363635
-4.88 462.9740000000001 10.003522083333335
-4.985 433.911 10.415349375
-5.095 462.322 10.000575999999999
-5.195 476.9449999999999 10.416524210526315
-5.305 470.166 10.561521578947367
-5.395 452.4269999999999 9.677765882352942
-5.515 472.49799999999976 10.31003
-5.585 521.8599999999999 11.173564285714283
-5.715 446.57800000000015 9.082949000000001
-5.825 485.04900000000015 8.751831499999998
-5.925 548.66 9.296531666666667
-6.025 498.34900000000005 9.309872777777777
-6.135 455.32800000000015 8.7381365
-6.245 469.1170000000001 9.290679499999998
-6.385 456.80199999999985 8.88481523809524
-6.495 499.41399999999993 9.3900825
-6.595 482.06099999999986 8.948013684210526
-6.705 482.866 8.809067619047617
-6.805 472.5010000000001 8.929047894736842
-6.915 505.1239999999999 9.6203615
-7.015 486.9419999999999 8.699819444444445
-7.045 432.75199999999995 7.758072
-7.165 479.34199999999987 8.687186666666667
-7.265 492.51100000000025 8.952563684210528
-7.375 500.84000000000003 9.032658000000001
-7.475 482.27000000000027 8.979502105263158
-7.575 492.51800000000003 9.307910555555555
-7.645 500.013 9.28162153846154
-7.755 497.56099999999986 8.688144210526316
-7.855 496.3289999999999 9.077148421052632
-7.965 482.509 9.085629047619049
-8.065 477.6639999999999 8.581787777777777
-8.165 503.794 8.760273684210524
-8.185 503.794 9.498877499999999
