z density ssa
-0.1 396.8329999999999 23.956888235294123
-0.2 414.34199999999987 23.56918888888889
-0.3 425.3140000000001 21.208238888888886
-0.4 438.835 24.135927777777777
-0.5 427.8729999999999 25.928236842105267
-0.6 389.18699999999995 25.106177777777777
-0.7 384.3670000000001 25.912316666666673
-0.8 407.66799999999995 24.091217647058826
-0.83 407.66799999999995 15.490816666666667
-0.98 378.92900000000003 11.789397500000002
-1.11 406.0590000000001 14.010117391304348
-1.25 474.77900000000034 14.270819230769233
-1.39 435.52499999999975 13.760676923076922
-1.4 384.88 10.573
-1.71 336.52900000000017 9.8656845
-1.81 408.9660000000001 13.470722222222225
-1.9 492.6360000000002 13.956624999999999
-2.0 474.331 13.796961111111111
-2.09 460.63500000000016 14.512829411764708
-2.19 427.5910000000001 14.535144444444446
-2.28 432.0519999999999 13.83870588235294
-2.33 420.21 13.6022
-2.45 411.585 11.728305555555556
-2.55 457.8320000000001 12.640333333333333
-2.66 455.82500000000005 13.04054285714286
-2.77 425.30000000000007 12.12952857142857
-2.88 404.7150000000001 11.731905000000001
-2.99 394.737 10.969895
-3.06 423.86700000000013 12.380869230769232
-3.19 372.6999999999999 13.204176470588235
-3.29 421.73599999999993 12.727811764705883
-3.4 423.59800000000007 12.208905
-3.5 459.14999999999986 13.270141176470588
-3.6 467.062 13.564784210526314
-3.7 457.3410000000001 12.945172222222224
-3.81 455.18099999999987 13.262474999999998
-3.84 455.18099999999987 13.355340000000002
