z density ssa
-0.15 385.741 17.88972631578947
-0.29 363.39999999999986 16.567726000000004
-0.39 336.228 10.636796666666665
-0.5 362.52900000000017 9.8457875
-0.6 382.3580000000001 10.142761111111108
-0.76 344.1170000000001 9.588899444444445
-0.87 376.81199999999995 8.909933157894736
-0.97 364.4920000000001 8.02291588235294
-1.07 384.6350000000001 9.620409444444443
-1.17 387.30100000000016 8.990556315789474
-1.28 390.2119999999998 9.464178500000001
-1.37 365.4679999999999 8.682696875000001
-1.48 364.19099999999986 8.142963684210526
-1.58 384.9769999999999 9.066915000000002
-1.68 383.0829999999999 7.725948235294119
-1.76 291.71299999999997 6.4134255555555555
-1.92 343.9650000000001 8.307345263157895
-1.98 314.706 6.558315454545454
-2.1 367.80800000000005 7.5949285
-2.21 377.0460000000001 7.038266999999999
-2.32 383.22099999999983 7.746330500000001
-2.43 330.76800000000003 6.387402
-2.54 354.88000000000005 7.447032105263156
-2.64 332.56699999999995 6.273960000000001
-2.82 319.52900000000017 6.5963215
-2.92 394.5910000000001 7.050896666666667
-3.03 421.9430000000001 7.934917
-3.13 400.18699999999995 7.915902777777777
-3.24 384.27000000000015 7.64268894736842
-3.33 407.67 6.98956294117647
-3.44 349.9099999999999 6.949493684210526
-3.55 366.1940000000002 6.219154499999999
-3.65 399.71 7.570974444444444
-3.76 459.318 7.122803333333332
-3.92 418.3950000000001 8.44712
-4.01 432.21299999999997 8.597319999999998
-4.09 477.647 8.90278923076923
-4.18 395.5910000000001 7.922848333333333
-4.26 392.787 6.883767857142858
-4.35 393.6660000000001 7.460027647058824
-4.4 374.428 8.023982222222223
-4.625 347.01099999999997 6.554638
-4.675 291.62199999999996 6.284673000000001
-4.775 390.25699999999983 8.54457388888889
-4.875 384.10000000000014 7.4060073684210534
-4.985 383.10900000000015 7.1865468421052645
-5.125 297.536 6.33533625
-5.235 398.1170000000001 6.678940999999999
-5.335 439.2669999999999 8.136626111111111
-5.435 423.4790000000002 7.144077368421053
-5.545 407.1719999999998 6.2579294999999995
-5.645 383.7929999999999 6.099615789473684
-5.755 412.2870000000001 6.728276666666667
-5.785 451.023 6.896198
-5.805 377.42800000000005 6.0574666666666666
-5.995 426.99499999999995 8.345177368421052
-6.115 403.35800000000006 6.476309523809523
-6.225 399.5439999999999 5.908458
-6.335 387.1350000000001 6.162659
-6.445 416.20899999999995 6.633332999999999
-6.565 371.3770000000001 7.262989523809525
-6.625 414.543 8.12975909090909
-6.845 458.01100000000025 7.691437999999998
-6.945 402.4840000000001 6.498478235294118
-7.045 427.1999999999999 7.260564736842106
-7.145 407.68400000000014 6.648306666666667
-7.255 428.65600000000006 6.960965
-7.355 404.21 6.439800588235294
-7.455 435.5429999999999 6.8384552941176455
-7.565 438.6580000000001 6.816187142857142
-7.675 425.5439999999999 6.817792631578947
-7.845 415.07800000000026 6.423137368421053
-7.945 436.875 6.189512777777777
-8.055 423.93599999999986 6.522676999999999
-8.155 449.69099999999986 6.947126666666667
-8.255 450.3990000000001 7.339996666666666
-8.365 406.647 6.3710736842105264
-8.475 427.2600000000001 7.027526
-8.575 443.2560000000001 7.661513157894738
-8.685 424.0770000000001 7.828543499999999
-8.735 414.665 8.798612222222223
