z density ssa
-0.09 429.0150000000001 25.72432
-0.24 435.46700000000004 21.022469230769232
-0.34 448.3900000000001 15.806978947368416
-0.45 427.14500000000015 15.20338
-0.55 462.206 16.60742777777778
-0.65 474.361 20.844733333333338
-0.71 409.911 17.715454545454552
-0.84 440.9419999999999 12.062476190476191
-0.94 388.18000000000006 11.474805555555555
-1.05 422.69199999999995 12.766636842105264
-1.16 435.6830000000001 11.53749
-1.27 469.593 11.023835000000002
-1.36 430.79799999999983 10.359924999999999
-1.41 430.79799999999983 9.8968475
-1.54 465.5030000000001 10.535620416666665
-1.64 371.02499999999986 7.913467894736843
-1.75 373.72000000000014 8.667617142857141
-1.85 425.2309999999998 10.418176842105263
-1.93 427.2619999999998 9.674701333333333
-2.01 370.737 8.645042666666667
-2.11 460.5190000000001 10.528933333333335
-2.17 460.5190000000001 8.40929
-2.29 404.32899999999995 9.714246666666668
-2.4 450.09500000000014 9.5454145
-2.5 431.6149999999999 9.50432157894737
-2.61 447.7430000000002 9.776674761904761
-2.72 511.43500000000006 10.909935
-2.79 480.66799999999995 10.971246153846154
-2.87 503.57399999999984 10.988213333333334
-2.97 496.7619999999998 10.43985294117647
-3.08 530.5079999999999 10.004417
-3.18 511.6890000000001 10.907055555555555
-3.28 481.9040000000003 10.509480526315787
-3.39 484.06400000000014 9.306528095238095
-3.49 501.753 9.986155
-3.59 498.1059999999999 9.85859388888889
-3.71 487.59200000000004 10.458346666666666
-3.82 499.852 9.145060000000003
-3.93 491.1309999999999 9.856114545454544
-4.04 481.3329999999999 9.4991205
-4.15 520.1450000000002 9.440169000000001
-4.26 511.7799999999999 9.547881
-4.37 499.1170000000001 10.333772857142858
-4.5 495.047 9.435060434782608
-4.61 523.327 9.641352631578949
-4.71 504.803 10.25737666666667
-4.81 512.202 10.778583333333334
-4.91 499.34699999999987 10.022373684210526
-5.02 509.23300000000006 10.443159047619048
-5.13 495.4809999999999 8.583632
-5.24 545.25 8.535495714285714
-5.35 516.5609999999999 8.5472315
-5.45 522.4660000000001 8.413985555555556
-5.55 529.6739999999999 8.186643888888888
-5.65 520.2970000000003 8.239595555555557
-5.76 529.756 9.411275999999997
-5.84 539.5010000000001 9.312049333333333
-5.94 553.338 8.014083333333334
-6.05 530.588 8.40679722222222
-6.16 499.5310000000001 8.6467745
-6.26 498.0420000000001 8.297743333333333
-6.36 517.916 8.147424705882354
-6.46 537.6939999999997 8.473880000000001
-6.56 548.714 8.780904444444444
-6.67 546.0169999999999 8.914685294117646
-6.83 539.5290000000003 7.782533793103449
-6.97 534.411 7.541679200000001
-7.12 530.9709999999997 8.018033571428571
-7.26 545.3250000000003 8.335097600000001
-7.27 557.2719999999999 7.505319999999999
-8.33 568.6129999999988 8.594181249999997
