z density ssa
-0.08 412.112 12.115683333333331
-0.11 405.11699999999996 11.64272
-0.21 415.50500000000005 13.441744444444446
-0.31 404.73899999999986 15.198142105263155
-0.41 409.6660000000001 16.23617777777778
-0.51 405.14300000000003 14.603563157894735
-0.6 400.24799999999993 14.90653125
-0.68 412.99899999999985 13.954921428571428
-0.78 451.906 12.525046153846151
-0.89 501.26300000000015 13.952223809523812
-0.99 434.97999999999985 15.22053157894737
-1.1 468.70200000000006 16.429857894736845
-1.19 424.5110000000001 15.98369411764706
-1.26 469.14900000000006 14.656758333333334
-1.34 400.0649999999999 12.596280000000004
-1.42 400.9679999999999 11.789370588235295
-1.46 354.986 10.530275
-1.53 415.0420000000001 11.43503
-1.58 344.769 10.331483333333333
-1.68 387.3190000000002 10.538105
-1.78 431.79200000000014 12.858383333333332
-1.89 446.165 13.380715789473683
-1.99 458.01800000000003 12.896805555555552
-2.09 420.00799999999987 12.861805555555556
-2.18 399.76800000000003 12.998218750000003
-2.28 429.0439999999999 9.595275454545455
-2.39 442.0479999999999 11.123954999999999
-2.49 451.2510000000001 10.413573684210528
-2.59 444.3919999999999 10.640338888888888
-2.69 457.169 10.155985263157893
-2.81 469.93699999999995 11.199254545454547
-2.84 469.93699999999995 11.93905
-2.96 451.4070000000001 10.21260111111111
-3.07 454.90400000000017 10.860400000000002
-3.17 466.7579999999999 10.92144
-3.25 459.67199999999985 11.443692857142858
-3.32 464.1890000000001 11.633761538461538
-3.4 334.09900000000005 9.75734875
-3.47 434.814 9.589615
-3.52 434.814 10.835299999999998
-3.62 457.1040000000002 11.258365294117647
-3.72 457.66700000000014 11.154089473684209
-3.82 455.8829999999999 10.301842222222222
-3.92 480.1940000000002 11.654452631578945
-4.02 459.6919999999999 11.890411111111113
-4.13 473.438 11.683942857142858
-4.19 459.26300000000003 12.500549999999999
-4.36 384.3109999999999 10.905375555555553
-4.46 405.02999999999986 9.96732
-4.56 449.67500000000007 10.68251
-4.67 466.43900000000014 10.919355000000001
-4.77 479.8869999999999 11.29965263157895
-4.84 483.3230000000001 12.023375
-4.93 385.6639999999999 10.249537647058824
-4.96 385.6639999999999 9.79777
