z density ssa
-0.1 459.7160000000001 16.402794117647062
-0.21 445.2250000000002 16.3833380952381
-0.31 389.73400000000015 15.855936842105265
-0.41 362.32899999999995 14.35734736842105
-0.47 321.61999999999995 12.829329999999999
-0.58 372.0159999999999 11.396441176470589
-0.67 391.3360000000001 12.615631249999998
-0.69 391.3360000000001 13.2239
-0.79 384.62100000000004 11.7340975
-0.89 388.2929999999999 12.762577777777778
-1.01 371.66700000000014 12.217716666666664
-1.11 426.5950000000002 9.825556666666667
-1.22 422.303 9.777259047619047
-1.32 421.37200000000007 10.285656666666666
-1.4 425.86700000000013 10.708340000000002
-1.47 456.29299999999995 9.476876428571428
-1.57 359.27499999999986 9.1808765
-1.68 444.7920000000001 8.490225499999998
-1.78 433.6480000000001 7.63251111111111
-1.88 370.8739999999999 7.131710588235294
-1.99 450.52800000000013 8.242361578947367
-2.09 380.2560000000001 7.799170526315788
-2.19 379.5640000000001 8.222648333333334
-2.3 396.67 8.417357
-2.37 432.2780000000002 8.106570000000001
-3.19 449.2119999999999 7.675451875000001
-3.29 396.02999999999986 5.8546144444444455
-3.38 418.01000000000016 6.234561764705881
-3.43 476.822 8.222845
-3.45 476.822 8.2233675
-3.75 423.98999999999984 6.338956666666666
-3.85 423.56599999999986 5.305601666666666
-3.94 444.45399999999995 5.685209375
-3.97 444.45399999999995 5.759304
-4.08 315.27000000000004 4.671202857142858
-4.15 337.723 4.719692307692307
-4.22 359.62300000000005 4.718864166666665
-4.33 445.2380000000002 6.684542352941177
-4.41 441.41799999999995 5.655574285714286
-4.48 468.56699999999995 6.015705384615385
-4.57 468.56699999999995 6.638113846153847
-4.67 449.39199999999994 7.513790526315791
-4.77 465.2579999999999 6.598365789473683
-4.87 482.59900000000005 7.17851947368421
-4.97 424.0969999999998 6.49885888888889
-5.07 432.3450000000002 5.794935263157893
-5.17 459.446 5.965415263157895
-5.26 459.446 6.592773571428571
-5.36 504.0220000000001 7.065394210526314
-5.46 497.726 6.5711778947368416
-5.56 527.3500000000001 7.067878333333334
-5.66 510.428 6.928519999999999
-5.76 488.58900000000006 6.774067777777778
-5.82 501.67900000000003 6.83176
-5.89 501.67900000000003 7.975448750000001
-6.0 518.3999999999999 7.981317619047618
-6.1 496.52099999999984 6.322542777777778
-6.22 419.7799999999999 4.980263181818182
-6.33 539.6650000000002 6.381776
-6.43 525.3599999999999 6.608452941176469
-6.54 488.66799999999984 6.089318499999999
-6.58 488.66799999999984 6.649733333333334
-6.68 490.55599999999987 6.297748333333333
-6.78 525.3369999999998 6.54715
-6.89 504.925 6.0783245
-6.99 475.49300000000017 5.506777058823529
-7.09 503.47500000000014 6.187673333333333
-7.2 464.919 5.299660476190475
-7.25 494.114 5.7879
-7.35 494.114 4.898935333333335
-7.46 461.60800000000006 5.619808000000001
-7.57 520.4529999999997 6.1643638095238105
-7.67 524.179 6.211868823529412
-7.78 487.4570000000001 6.065718888888889
-7.88 509.02999999999986 6.625555
-8.01 495.045 5.6482543478260885
