z density ssa
-0.12 425.33399999999995 17.871385
-0.22 448.0640000000001 20.270127777777773
-0.32 500.438 16.86667894736842
-0.42 463.22799999999995 16.121383333333334
-0.52 454.96500000000003 16.097463157894737
-0.62 458.70899999999995 17.216438888888888
-0.67 383.323 16.99322
-0.79 429.138 15.423315789473678
-0.89 477.1819999999999 12.757783333333332
-0.99 427.4880000000002 12.360373684210524
-1.04 412.9700000000001 13.898500000000002
-1.23 379.51100000000025 10.49499323529412
-1.34 367.241 11.154035999999998
-1.36 400.03 17.6784
-1.45 371.80299999999994 11.508009090909091
-1.55 401.2730000000001 11.678326315789477
-1.67 457.4440000000001 11.339263636363638
-1.74 437.4139999999998 10.775876923076925
-1.84 423.3490000000001 10.7701
-1.85 423.3490000000001 10.60235
-1.95 352.74499999999995 8.912130000000001
-2.03 357.6170000000001 10.816768571428572
-2.16 462.8909999999998 10.842273684210525
-2.27 483.959 10.368804999999998
-2.37 480.611 10.350453888888888
-2.47 503.43500000000006 10.996640000000001
-2.57 501.6850000000001 11.4694
-2.67 532.363 11.786089999999998
-2.76 524.0689999999997 11.773462499999999
-2.84 426.774 9.889015454545454
-2.95 427.2099999999999 9.686145238095238
-3.05 448.3559999999998 9.49930611111111
-3.15 464.6189999999999 9.060855
-3.25 486.282 10.016147894736843
-3.35 443.06199999999995 8.489495
-3.46 440.61399999999986 9.0795695
-3.55 467.88199999999983 8.714900555555554
-3.65 470.5400000000001 9.116850555555555
-3.76 479.634 9.785000499999999
-3.86 480.70700000000016 9.837675999999998
-3.96 480.0640000000001 9.650339444444443
-4.13 464.6569999999997 9.9835684375
-4.19 478.14300000000003 10.142158
-4.27 480.2659999999999 9.93184076923077
-4.37 493.77699999999993 10.13008222222222
-4.47 530.8559999999999 9.748115263157894
-4.57 532.104 9.627770526315791
-4.67 521.286 9.84555157894737
-4.78 520.7360000000002 9.94380761904762
-4.88 534.537 9.999134736842104
-4.975 532.2569999999998 9.480743529411761
-5.075 543.838 9.578066315789474
-5.185 536.4050000000001 9.945629047619049
-5.285 518.83 9.98556157894737
-5.385 495.47999999999973 9.158914736842107
-5.485 472.1639999999999 8.703740555555557
-5.605 455.812 8.2205635
-5.715 481.2099999999998 8.111602380952382
-5.815 480.05 7.745304999999999
-5.915 451.65400000000017 7.359984999999999
-6.015 434.938 7.233115499999999
-6.115 509.821 8.726097222222222
-6.135 509.821 9.1460925
-6.225 431.0280000000002 8.617280555555554
-6.325 526.9040000000002 8.6478
-6.435 497.29200000000003 7.889780999999999
-6.545 503.7659999999998 8.271390952380951
-6.645 532.5560000000003 9.365023684210527
-6.745 527.0959999999998 9.845889473684212
-6.845 527.3340000000001 9.509025263157895
-6.955 516.4830000000001 9.166055238095238
-7.085 526.2289999999999 9.188112083333335
-7.185 543.5609999999999 9.24971947368421
-7.285 518.961 9.303905
-7.385 533.7569999999998 9.060701052631579
-7.455 537.023 9.479214615384617
-7.555 545.711 9.424050000000001
-7.645 493.5290000000002 8.650957058823527
-7.785 536.4510000000002 8.592521304347825
-7.885 564.643 8.35337
-7.985 572.9840000000002 8.535360555555554
-8.075 547.5560000000003 7.994400000000001
-8.115 484.661 7.3464599999999995
-8.215 537.9269999999999 7.648063157894738
-8.235 537.9269999999999 8.0756025
